id,claim,label,supporting_facts,challenge
45987,克里斯·韦茨有五部纪录片，包括《灰姑娘》(2002)、《美国派》(2007)、《新月》(2012) 和《关于一个男孩》(2013)。,REFUTES,Chris Weitz_sentence_1|context:Chris Weitz_sentence_1:Chris Weitz_title,Other
70642,巴约讷军事海运码头由美国控制，于 1939 年至 1942 年建造，并于 1945 年至 1999 年投入使用。,REFUTES,"Military Ocean Terminal at Bayonne_cell_0_5_1|context:Military Ocean Terminal at Bayonne_cell_0_5_1:Military Ocean Terminal at Bayonne_title
Military Ocean Terminal at Bayonne_header_cell_0_5_0
Military Ocean Terminal at Bayonne_header_cell_0_3_0",Numerical Reasoning
60552,2014-2015年，米利亚姆·盖里布（Miliam Guerrib，出生于1985年11月5日）曾效力于韦尔斯足球俱乐部（FC Wels），这是一家奥地利足球俱乐部，成立于2003年，由传统俱乐部SK Eintracht Wels和FC Union Wels合并而成。,SUPPORTS,"Miliam Guerrib_cell_0_2_1
Miliam Guerrib_cell_0_26_1
FC Wels_sentence_0|context:Miliam Guerrib_cell_0_2_1:Miliam Guerrib_title
Miliam Guerrib_header_cell_0_2_0
Miliam Guerrib_header_cell_0_0_0|Miliam Guerrib_cell_0_26_1:Miliam Guerrib_title
Miliam Guerrib_header_cell_0_26_0
Miliam Guerrib_header_cell_0_11_0|FC Wels_sentence_0:FC Wels_title",Multi-hop Reasoning
35366,Teldenia helena 是 Wilkinson 于 1967 年首次描述的一种飞蛾。,SUPPORTS,"Teldenia helena_sentence_0
Teldenia helena_sentence_1|context:Teldenia helena_sentence_0:Teldenia helena_title|Teldenia helena_sentence_1:Teldenia helena_title",Other
47794,波加诺沃修道院建于 2000 年，供奉圣约翰·保罗二世。,REFUTES,"Poganovo Monastery_cell_0_4_1|context:Poganovo Monastery_cell_0_4_1:Poganovo Monastery_title
Poganovo Monastery_header_cell_0_4_0
Poganovo Monastery_header_cell_0_0_0",Other
53910,约翰·威南斯 (John Winans) 是 1873 年 11 月 4 日大选的候选人，但以 741 票落败。,REFUTES,"John Winans_cell_1_2_2
John Winans_cell_1_2_3
John Winans_table_caption_1
John Winans_cell_1_3_2
John Winans_cell_1_3_3|context:John Winans_cell_1_2_2:John Winans_title
John Winans_section_5
John Winans_section_6
John Winans_header_cell_1_0_2|John Winans_cell_1_2_3:John Winans_title
John Winans_section_5
John Winans_section_6
John Winans_header_cell_1_0_3|John Winans_table_caption_1:John Winans_title
John Winans_section_5
John Winans_section_6|John Winans_cell_1_3_2:John Winans_title
John Winans_section_5
John Winans_section_6
John Winans_header_cell_1_0_2|John Winans_cell_1_3_3:John Winans_title
John Winans_section_5
John Winans_section_6
John Winans_header_cell_1_0_3",Other
87016,乔迪·亨德森 (Geordie Henderson) 出生于弗福尔 (Forfar)，在福福竞技 (绰号 The Loons 或 Sky Blues) 开始了他的职业生涯，随后短暂效力于邓迪 (Dundee)，之后于 1818 年 11 月加盟流浪者队 (Rangers)，连续四个赛季成为流浪者队的最佳射手。,REFUTES,"Geordie Henderson_sentence_3|context:Geordie Henderson_sentence_3:Geordie Henderson_title
Geordie Henderson_section_0
Geordie Henderson_cell_0_11_1|context:Geordie Henderson_cell_0_11_1:Geordie Henderson_title
Geordie Henderson_header_cell_0_11_0
Geordie Henderson_header_cell_0_7_0",Other
85829,弗朗茨·卡夫卡奖的获得者之一是加拿大诗人和小说家玛格丽特·阿特伍德，她写了《使女的故事》。,SUPPORTS,"Franz Kafka Prize_cell_1_4_2
Margaret Atwood_sentence_0
The Handmaid's Tale_table_caption_0
The Handmaid's Tale_cell_0_0_1|context:Franz Kafka Prize_cell_1_4_2:Franz Kafka Prize_title
Franz Kafka Prize_section_1
Franz Kafka Prize_header_cell_1_0_2|Margaret Atwood_sentence_0:Margaret Atwood_title|The Handmaid's Tale_table_caption_0:The Handmaid's Tale_title|The Handmaid's Tale_cell_0_0_1:The Handmaid's Tale_title
The Handmaid's Tale_header_cell_0_0_0",Multi-hop Reasoning
77115,Rasbora naggsi 是属于鲤形目鲤科的一个属。,REFUTES,Rasbora naggsi_sentence_2|context:Rasbora naggsi_sentence_2:Rasbora naggsi_title,Other
72596,2008 年 1 月至 6 月间运行的新音乐下载播客取代了 2006 年 8 月至 2007 年 6 月间运行的 40 个节目的 Slashmusic 播客；汤姆·雷文斯克罗夫特 (Tom Ravenscroft) 是这两个节目的美国电台主持人。,SUPPORTS,"New Music Download_sentence_0
New Music Download_sentence_1
Slashmusic_sentence_0|context:New Music Download_sentence_0:New Music Download_title|New Music Download_sentence_1:New Music Download_title|Slashmusic_sentence_0:Slashmusic_title",Multi-hop Reasoning
44709,卡迪尔博士在监狱里进行绝食，当他能得到他的要求时就停止绝食。随后，在奥地利外交部特使、记者古德伦·哈雷尔的努力下，他于2006年1月25日被释放。,SUPPORTS,"Kamal Qadir_sentence_6
Kamal Qadir_sentence_7
Felix Ermacora Human Rights Award_sentence_2
Felix Ermacora Human Rights Award_item_0_2|context:Kamal Qadir_sentence_6:Kamal Qadir_title|Kamal Qadir_sentence_7:Kamal Qadir_title|Felix Ermacora Human Rights Award_sentence_2:Felix Ermacora Human Rights Award_title|Felix Ermacora Human Rights Award_item_0_2:Felix Ermacora Human Rights Award_title
Felix Ermacora Human Rights Award_section_0",Entity Disambiguation
