id,claim,label,supporting_facts,challenge
24435,"Michale Foliv icompeted with ten teams from 2016 to 2021, appaering in 54 games and making seven goals in total",REFUTES,"Michael Folivi_cell_1_2_0
Michael Folivi_cell_1_7_0
Michael Folivi_cell_1_8_0
Michael Folivi_cell_1_9_0
Michael Folivi_cell_1_12_0|context:Michael Folivi_cell_1_2_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_7_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_8_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_9_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_12_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0
Michael Folivi_cell_0_13_1
Michael Folivi_cell_0_14_1
Michael Folivi_cell_0_15_1
Michael Folivi_cell_0_16_1
Michael Folivi_cell_0_18_1|context:Michael Folivi_cell_0_13_1:Michael Folivi_title
Michael Folivi_header_cell_0_13_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_14_1:Michael Folivi_title
Michael Folivi_header_cell_0_14_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_15_1:Michael Folivi_title
Michael Folivi_header_cell_0_15_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_16_1:Michael Folivi_title
Michael Folivi_header_cell_0_16_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_18_1:Michael Folivi_title
Michael Folivi_header_cell_0_18_0
Michael Folivi_header_cell_0_11_0",Numerical Reasoning
14802,"Asiatic Society of Bangladesh(huose din Nimtali) is a no npolitical organization renamed in 1972, Ahmed Hasan Dani played an important role in its founding",SUPPORTS,"Asiatic Society of Bangladesh_sentence_4
Asiatic Society of Bangladesh_sentence_0
Asiatic Society of Bangladesh_sentence_1
Asiatic Society of Bangladesh_sentence_2|context:Asiatic Society of Bangladesh_sentence_4:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_0:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_1:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_2:Asiatic Society of Bangladesh_title",Other
28540,"Lindfield railwa ystation has 3 bus routes, in which the first platfor mservices routes to Emu plains via Central and Richmond and Hronbys via Strathfield",SUPPORTS,"Lindfield railway station_sentence_5
Lindfield railway station_cell_0_1_2
Lindfield railway station_cell_0_2_1|context:Lindfield railway station_sentence_5:Lindfield railway station_title
Lindfield railway station_section_1|Lindfield railway station_cell_0_1_2:Lindfield railway station_title
Lindfield railway station_section_1
Lindfield railway station_header_cell_0_1_0|Lindfield railway station_cell_0_2_1:Lindfield railway station_title
Lindfield railway station_section_1
Lindfield railway station_header_cell_0_1_0",Other
71874,"Mukaradebe('Wolf's Den') is a city in Iraq near the Syrian border, in the distrcit o fAl-Qa'im, province of Al-Anbar",SUPPORTS,"Mukaradeeb_sentence_1
Mukaradeeb_cell_0_3_1
Mukaradeeb_cell_0_2_1|context:Mukaradeeb_sentence_1:Mukaradeeb_title|Mukaradeeb_cell_0_3_1:Mukaradeeb_title
Mukaradeeb_header_cell_0_3_0
Mukaradeeb_header_cell_0_0_0|Mukaradeeb_cell_0_2_1:Mukaradeeb_title
Mukaradeeb_header_cell_0_2_0
Mukaradeeb_header_cell_0_0_0",Combining Tables and Text
70296,"Herbivore men was coined by Maki Fukasawa and was an egative connotation as as young men who had lost their ""manliness"" and were responsible for Japan's declining birth rate which is actually due to high lif eexpectnacy and low fertility rate  among other things",SUPPORTS,"Herbivore men_sentence_1
Herbivore men_sentence_4
Aging of Japan_sentence_8|context:Herbivore men_sentence_1:Herbivore men_title|Herbivore men_sentence_4:Herbivore men_title|Aging of Japan_sentence_8:Aging of Japan_title",Multi-hop Reasoning
16578,"Suhlin, a 33.1288 km (12.7911 sq mi) land located in New Tapiei City, China, a country in East Asia, has a total population of 183,496 in December 2018",REFUTES,Shulin District_sentence_2|context:Shulin District_sentence_2:Shulin District_title,Other
76062,"The 2006-07 San Jose Sharks season, the 14th season of operation (13th seasno of play )for teh National Hockey League (NHL) franchise, scored the most points in the Pacific Division",REFUTES,"2006–07 San Jose Sharks season_sentence_0
2006–07 San Jose Sharks season_table_caption_1
2006–07 San Jose Sharks season_cell_1_2_2
2006–07 San Jose Sharks season_cell_1_2_9
2006–07 San Jose Sharks season_cell_1_1_2
2006–07 San Jose Sharks season_cell_1_1_9|context:2006–07 San Jose Sharks season_sentence_0:2006–07 San Jose Sharks season_title|2006–07 San Jose Sharks season_table_caption_1:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2|2006–07 San Jose Sharks season_cell_1_2_2:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_2|2006–07 San Jose Sharks season_cell_1_2_9:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_9|2006–07 San Jose Sharks season_cell_1_1_2:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_2|2006–07 San Jose Sharks season_cell_1_1_9:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_9",Combining Tables and Text
15702,Oyedaea is part o fthe family Asteracaee in the odrer Asterales,SUPPORTS,"Oyedaea_cell_0_7_0
Oyedaea_cell_0_7_1
Oyedaea_cell_0_6_0
Oyedaea_cell_0_6_1|context:Oyedaea_cell_0_7_0:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_7_1:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_6_0:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_6_1:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0",Other
55963,"Sanuders College of Business, which is accredited by teh Association to Advance Collegiate Scohols of Business International, is one of the colleges of Rochester Institute of Technology established in 1910 and is currently under the supervision of Dean Jacqueline R. Mozrall",SUPPORTS,"Saunders College of Business_sentence_0
Saunders College of Business_cell_0_2_1
Saunders College of Business_cell_0_4_1|context:Saunders College of Business_sentence_0:Saunders College of Business_title|Saunders College of Business_cell_0_2_1:Saunders College of Business_title
Saunders College of Business_header_cell_0_2_0|Saunders College of Business_cell_0_4_1:Saunders College of Business_title
Saunders College of Business_header_cell_0_4_0",Combining Tables and Text
20067,Mauricio Vila Dosal of teh National Actino Party overwhelmingly won the race for Governor of Yucat√°n during the 2018 Mexican egneral election,REFUTES,"2018 Mexican general election_item_11_11
2018 Mexican general election_cell_11_1_1
2018 Mexican general election_cell_11_1_2
2018 Mexican general election_cell_11_1_5
2018 Mexican general election_cell_11_2_1
2018 Mexican general election_cell_11_2_5|context:2018 Mexican general election_item_11_11:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35|2018 Mexican general election_cell_11_1_1:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_0|2018 Mexican general election_cell_11_1_2:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_2|2018 Mexican general election_cell_11_1_5:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_5|2018 Mexican general election_cell_11_2_1:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_0|2018 Mexican general election_cell_11_2_5:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_5",Combining Tables and Text
