uid,claim,supporting_facts,label,num_hops,hpqa_id
ad063212-345f-4e9d-970d-9342748b8d62,代表汤姆·钱伯斯参加《舞动奇迹》第六季的舞者国籍是丹麦。,Tom Chambers (actor),SUPPORTED,2,5abc9fb055429959677d6ac9
51509c76-8486-45b8-9da9-cc40ff7712e8,布莱恩·珀西瓦尔执导的电影《偷书贼》改编自马库斯·祖萨克的小说。,Brian Percival,SUPPORTED,2,5adddb7e5542997dc790705f
2359b568-c509-4e8e-a159-c9141c0618e9,韩国总统出生于 1953 年 1 月 24 日。韩国国家品牌总统委员会由他直接控制。,"Presidential Council on Nation Branding, Korea",SUPPORTED,2,5adf07cd5542993a75d263da
6d02062b-947d-41c7-9754-d43ff366a9fa,Calochone 和 Adlumia 都是植物。,Calochone,SUPPORTED,2,5ae060415542993d6555eb19
9de1d0d3-e054-4c03-8d19-7b4884c92c59,SM Lifestyle Cities 开发项目目前位于帕赛，目前正在考虑建设购物中心，例如位于菲律宾邦板牙省克拉克自由港的 M.A. Roxas Avenue 的购物中心。,SM Lifestyle City,SUPPORTED,2,5a722c2255429971e9dc932c
01f498b7-ae1b-4d0d-8edf-b1c179abcdd5,蒂昂·沃特金斯和朴素妍都是女子组合的成员。,Tionne Watkins,SUPPORTED,2,5abdbf3755429933744ab818
d3e0c0d4-c3f8-43df-b1d6-beb886a2884b,唐纳德·特朗普的总统竞选活动在社交媒体上推出了“维希共和党”一词，并于2015年6月16日在纽约市特朗普大厦正式启动。,Vichy Republican,SUPPORTED,2,5ae5669755429960a22e02ec
8a4e2a68-e793-4222-9bd6-c180d6aff7d3,第一代准男爵威廉·詹姆斯·英格拉姆爵士（1847年10月27日至1924年12月18日）是《伦敦新闻画报》的董事总经理，该杂志于1842年5月14日星期六首次出版，是世界上第一本每周出版的新闻杂志，直到1971年每周出版一次。,"Sir William Ingram, 1st Baronet",SUPPORTED,2,5a8358eb554299123d8c20fa
d5ce9c8a-a64f-4424-b8a3-b225b0785f0c,第一代准男爵威廉·詹姆斯·英格拉姆爵士（1847年10月27日至1924年12月18日）是《伦敦新闻画报》的董事总经理，该杂志于1842年5月14日星期六首次出版，是世界上第一份每周出版的新闻杂志，每周出版一次直到夏季1971年。,"Sir William Ingram, 1st Baronet",NOT_SUPPORTED,2,5a8358eb554299123d8c20fa
00d94562-3911-4317-bc2b-54521a91be07,发行《Hooligan's Holiday》的乐队于 2015 年退役。,Hooligan's Holiday,SUPPORTED,2,5a8dacf2554299068b959d91
b6e56c4d-e4e9-43eb-8736-c88781444b87,佛罗里达州中北部城镇盖恩斯维尔是朋克摇滚乐队 Against Me! 的所在地。,Don't Lose Touch,SUPPORTED,2,5ae7c5ef5542993210983f44
60e37d37-20cf-4f03-9619-42b9b669e1b4,包含麦当娜歌曲《Get Together》的专辑主要是在 Stuart Price 的家庭录音室录制的。,Get Together (Madonna song),SUPPORTED,2,5a7f22005542993067513657
a1cd7f29-dec5-4732-8f14-6c514f92a1ae,Upper Crust Pizzeria 和 Eatza Pizza 都是餐厅。,Upper Crust Pizzeria,SUPPORTED,2,5ade15a45542997545bbbe46
21942771-1199-41f2-86b4-8f1cea6e94e0,戴安娜·罗斯 (Diana Ross) 住在中央公园西 211 号。,Diana Ross Playground,SUPPORTED,2,5a7b87095542995eb53be94c
d019fd03-dafa-4507-84da-55e67711d406,《赌王之王》是约翰·加文·马尔科维奇与马特·达蒙和爱德华·诺顿共同出演的电影。,John Malkovich,SUPPORTED,2,5ac2a75755429967731025dc
