uid,claim,supporting_facts,label,num_hops,hpqa_id
aac2ddbd-0a7c-4f99-a8ca-b523b4fabcae,पिएस्टेवा पार्कवे का नाम मूल अमेरिकी जनजाति से संबंधित एक मूल अमेरिकी महिला के नाम पर रखा गया है।,Arizona State Route 51,SUPPORTED,3,5a7c04c85542996dd594b881
98ee1b8f-2af7-4995-a967-010a192abd49,पिएस्टेवा पार्कवे का नाम एक मूल अमेरिकी महिला के नाम पर रखा गया है।,Arizona State Route 51,SUPPORTED,3,5a7c04c85542996dd594b881
45424a9c-c880-470e-94fd-7aa4ae37fae7,पिएस्टेवा पार्कवे का नाम होपी जनजाति की एक होपी महिला के नाम पर रखा गया है।,Arizona State Route 51,SUPPORTED,3,5a7c04c85542996dd594b881
47cf658e-4e60-449f-9790-fe868848f071,स्टार प्लस कुबूल है में नितिन सहरावत के साथ सह-कलाकार रहने वाले अभिनेता को भारतीय देश के स्टार प्लस नेटवर्क पर प्रसारित होने वाली नाटक श्रृंखला में नकारात्मक भूमिकाओं के लिए जाना जाता है।,Additi Gupta,NOT_SUPPORTED,3,5ae1d1995542997283cd226c
b5b41653-34dc-4df3-b537-45b93f488df8,ज़ी टीवी के कुबूल है में नितिन सहरावत के साथ सह-कलाकार रहने वाले अभिनेता को भारतीय देश के स्टार प्लस नेटवर्क पर प्रसारित होने वाली नाटक श्रृंखला में नकारात्मक भूमिकाओं के लिए जाना जाता है।,Additi Gupta,SUPPORTED,3,5ae1d1995542997283cd226c
a0fea3ca-1635-4f07-a028-55eb2df8c3df,ज़ी टीवी के कुबूल है में नितिन सहरावत के साथ सह-कलाकार रहने वाले अभिनेता को भारतीय देश के स्टार वन नेटवर्क पर प्रसारित होने वाली नाटक श्रृंखला में नकारात्मक भूमिकाओं के लिए जाना जाता है।,Additi Gupta,NOT_SUPPORTED,3,5ae1d1995542997283cd226c
b91496ad-2b49-4244-a3b6-8a190cac1f3c,"डच अभिनेता, जो ज़ी टीवी के कुबूल है में नितिन सहरावत के साथ सह-कलाकार हैं, को भारतीय देश के स्टार प्लस नेटवर्क पर प्रसारित होने वाली नाटक श्रृंखला में नकारात्मक भूमिकाओं के लिए जाना जाता है।",Additi Gupta,NOT_SUPPORTED,3,5ae1d1995542997283cd226c
4b62c119-f940-405d-8b56-40a12869824a,ज़ी टीवी के शो गौतम में नितिन सहरावत के साथ सह-कलाकार रहने वाले अभिनेता को भारतीय देश के स्टार प्लस नेटवर्क पर प्रसारित होने वाली नाटक श्रृंखला में नकारात्मक भूमिकाओं के लिए जाना जाता है।,Additi Gupta,NOT_SUPPORTED,3,5ae1d1995542997283cd226c
19f564eb-378a-47dc-b094-a6e2323dd2d5,कुबूल है में नितिन सहरावत के साथ सह-कलाकार रहने वाले अभिनेता को भारतीय देश के स्टार प्लस नेटवर्क पर प्रसारित होने वाली नाटक श्रृंखला में नकारात्मक भूमिकाओं के लिए जाना जाता है।,Additi Gupta,SUPPORTED,3,5ae1d1995542997283cd226c
999bd435-48bd-4846-9e49-954afca33954,"डोना टार्ट के जन्म से पहले रिलीज़ हुई डिटेक्टिव (उपन्यास) के लेखक की तीन सबसे ज्यादा बिकने वाली किताबें 1960 के दशक की ""होटल"" और ""एयरपोर्ट"", और 1970 के दशक की ""व्हील्स"" हैं।",Arthur Hailey,SUPPORTED,3,5a79e3925542994bb9457130
7b91d688-7171-47d6-a879-203a24dac690,"1980 में डोना टार्ट के जन्म से पहले रिलीज़ हुई डिटेक्टिव (उपन्यास) के लेखक की तीन बेस्ट सेलर ""होटल"" (1965), ""एयरपोर्ट"" (1968), ""व्हील्स"" (1971) हैं।",Arthur Hailey,NOT_SUPPORTED,3,5a79e3925542994bb9457130
1739fe3a-588e-4281-9533-8f8cb212e832,"डोना टार्ट के जन्म से पहले रिलीज़ हुई डिटेक्टिव (उपन्यास) के लेखक की तीन बेस्ट सेलर ""होटल"" (1965), ""एयरपोर्ट"" (1968), ""परफेक्ट केमिस्ट्री"" (1971) हैं।",Arthur Hailey,NOT_SUPPORTED,3,5a79e3925542994bb9457130
6892d6d5-29dc-43b3-97f4-9042ad56180c,"डोना टार्ट के जन्म से पहले रिलीज़ हुई डिटेक्टिव (उपन्यास) के लेखक की तीन बेस्ट सेलर ""होटल"" (1965), ""एयरपोर्ट"" (1968), ""व्हील्स"" (1971) हैं।",Arthur Hailey,SUPPORTED,3,5a79e3925542994bb9457130
155d5809-19e1-427e-aff2-8b179a29bf7e,"1 जून 1956 को जन्मे रिपब्लिकन चेयरमैन, टॉम हरकिन और जॉर्ज मिलर के साथ द कीपिंग ऑल स्टूडेंट्स सेफ एक्ट के प्रायोजक थे।",Charlie Ross (state senator),SUPPORTED,3,5a75e814554299109176e5c7
7750b7d6-6330-47a1-9f61-a4d0523f7749,"जून 1956 में जन्मे रिपब्लिकन चेयरमैन, टॉम हरकिन और जॉर्ज मिलर के साथ द कीपिंग ऑल स्टूडेंट्स सेफ एक्ट के प्रायोजक थे।",Charlie Ross (state senator),SUPPORTED,3,5a75e814554299109176e5c7
152a80c1-a4d1-4b32-89ff-19ae5dbbfcdf,1 जून 1956 को जन्मे रिपब्लिकन चेयरमैन टॉम हरकिन और जॉर्ज मिलर के साथ द कीपिंग ऑल स्टूडेंट्स सेफ एक्ट के प्रमुख प्रायोजक थे।,Charlie Ross (state senator),SUPPORTED,3,5a75e814554299109176e5c7
df41a472-510a-4b5f-b2f1-be5998e558d0,"ग्रीक फायर की शुरुआत 1998 में कॉन्स्टेंटिनोपल रिकॉर्ड्स के निर्माता द्वारा संचालित बैंड, स्मैशिंग पम्पकिन्स की तुलना में अधिक दक्षिणी स्थान पर हुई थी।",Billy Corgan,NOT_SUPPORTED,3,5ae4d0ff55429913cc204511
7dcb32bb-3896-447d-aa9f-26334eb664a5,ग्रीक फायर की उत्पत्ति कॉन्स्टेंटिनोपल रिकॉर्ड्स के निर्माता के नेतृत्व वाले बैंड मेलॉन कोली की तुलना में अधिक दक्षिणी स्थान पर हुई थी।,Billy Corgan,NOT_SUPPORTED,3,5ae4d0ff55429913cc204511
c21e5681-0af0-4d05-9bcf-87b76c1930be,"ग्रीक फायर की उत्पत्ति स्मैशिंग पम्पकिन्स की तुलना में दक्षिणी स्थान पर हुई, जो कॉन्स्टेंटिनोपल रिकॉर्ड्स के निर्माता द्वारा संचालित एक बैंड था।",Billy Corgan,SUPPORTED,3,5ae4d0ff55429913cc204511
0ce5a31a-6024-46c1-ae9d-f9a6e4b21854,"ग्रीक फायर की उत्पत्ति स्मैशिंग पम्पकिन्स की तुलना में अधिक दक्षिणी स्थान पर हुई, जो कॉन्स्टेंटिनोपल रिकॉर्ड्स के निर्माता द्वारा संचालित एक बैंड था।",Billy Corgan,SUPPORTED,3,5ae4d0ff55429913cc204511
5a9dbcf1-b9cd-469a-b916-01eb6307b314,ग्रीक फायर की उत्पत्ति कॉन्स्टेंटिनोपल रिकॉर्ड्स के निर्माता द्वारा संचालित बैंड स्मैशिंग पम्पकिन्स से अधिक दक्षिणी स्थान पर नहीं हुई थी।,Billy Corgan,NOT_SUPPORTED,3,5ae4d0ff55429913cc204511
7a2e0961-1e3c-470a-80fc-34a47410fa93,इस फिल्म के लेखक और निर्देशक फिलिपिनो हैं। फिल्म में कारी मैचेट ने भी अभिनय किया।,The Tree of Life (film),NOT_SUPPORTED,3,5adfc8c255429906c02daa3e
a1e2b04b-2c35-4bfb-a9e7-f5540bfa6bee,इस फिल्म के पुरस्कार विजेता लेखक और निर्देशक अमेरिकी हैं। फिल्म में कारी मैचेट ने भी अभिनय किया।,The Tree of Life (film),NOT_SUPPORTED,3,5adfc8c255429906c02daa3e
9140610b-f232-4f86-bf46-1112f18017a1,इस फिल्म के लेखक और निर्देशक अमेरिकी हैं. फिल्म में कारी मैचेट ने भी अभिनय किया।,The Tree of Life (film),SUPPORTED,3,5adfc8c255429906c02daa3e
91793cf1-11bc-48db-85c5-943efbc8bf52,"प्रकाशक और फिल्म कंपनी मार्वल ने कॉमिक पुस्तकों का निर्माण किया, जिसमें मैक्सिमम कार्नेज और डेयरडेविल्स दोनों शीर्षकों का परिवार शामिल था।",The Daredevils,NOT_SUPPORTED,3,5adf04915542995534e8c72f
e86d443e-a02d-42a2-b197-9aa43509cc77,प्रकाशक मार्वल ने पुस्तकों का निर्माण किया जिसमें मैक्सिमम कार्नेज और डेयरडेविल्स दोनों शीर्षकों का परिवार शामिल था।,The Daredevils,SUPPORTED,3,5adf04915542995534e8c72f
de354271-a03b-42c0-90d3-93b86d6e8953,"प्रकाशक मार्वल ने कॉमिक पुस्तकों का निर्माण किया, जिसमें मैक्सिमम कार्नेज और डेयरडेविल्स दोनों शीर्षकों का परिवार शामिल था।",The Daredevils,SUPPORTED,3,5adf04915542995534e8c72f
68fca1b2-7063-4f6a-b293-6f5229b33984,जिस क्षेत्र में चांगले नदी का उद्गम होता है उसे पहले लिनचुआन जिला कहा जाता था।,Shengzhou,SUPPORTED,3,5ac1089f554299012d1db688
626fc294-6615-4c86-b9fe-74b0578c49a6,"जिस क्षेत्र में चांगले नदी का उद्गम होता है, उसके पूर्व नाम लिनचुआन जिले की तुलना में अधिक हैं।",Shengzhou,SUPPORTED,3,5ac1089f554299012d1db688
a83cc517-78f6-48b5-8976-94f49b0e5172,"जिस क्षेत्र में चांगले नदी का उद्गम होता है, उसके पूर्व नाम लिनचुआन जिले की तुलना में अधिक हैं।",Shengzhou,SUPPORTED,3,5ac1089f554299012d1db688
00870731-7979-4625-8416-5988d57da389,"जिस क्षेत्र में चांगले नदी का उद्गम होता है, उसमें लिनचुआन जिले की तुलना में छह अधिक पूर्व नाम हैं।",Shengzhou,NOT_SUPPORTED,3,5ac1089f554299012d1db688
