claim,label
"Skagen Painter , who multi-color the 1893 picture rose , favour realism . Theodor Esbern Philipsen and the creative_person that Ossian Elgström studied with in December of 1907 also favour realism .",NOT_SUPPORTED
Skagen Painter and   creative_person Peder Severin Krøyer favour realism . As coiffure Theodor Esbern Philipsen and the creative_person that the illustrator of Exlex read with in 1907 .,SUPPORTED
"Skagen Painter , who pied the 1893 paint rosebush , preferred realism . Theodor Esbern Philipsen and the artist that Ossian Elgström take with in 1907 besides favor naturalism .",SUPPORTED
Skagen Painter Peder Severin Krøyer favour naturalism . As do Theodor Esbern Philipsen and the creative_person that the illustrator of Exlex canvas with in 1907 .,SUPPORTED
The composer of Longplayer was a banjo histrion in a striation . The musician James McNally was in this band .,SUPPORTED
Hoch wie nie was publish by the same Singer that is too a   composer . This composer was a banjo histrion in the band The Shane MacGowan .,NOT_SUPPORTED
Hoch wie nie was published by the Same singer that is too a   composer . This composer was a banjo instrumentalist in the dance_band The Pogues .,SUPPORTED
Hoch wie nie was publish by the same wild_blue_yonder Isaac_Merrit_Singer that is likewise a composer . This composer was a banjo participant in the band The Pogues .,NOT_SUPPORTED
Hoch wie nie was write by the Saami Singer that is besides a   composer . This composer was a banjo instrumentalist in the band The MacGowan .,NOT_SUPPORTED
The composer of Longplayer was a banjo instrumentalist in a band . The classical musician James McNally was in this stripe .,NOT_SUPPORTED
"This picture_show is establish on a record by the Austrian author who also write The Hound of Florence , The Country Bears is not . The flick was reestablish and save by John D. Lowry .",SUPPORTED
"This 2001 infotainment is based on a volume by the Austrian source who besides write The Hound of Florence , The Country Bears is not . The moving_picture was reestablish and maintain by John D. Lowry .",NOT_SUPPORTED
"This picture_show is free-base on a Koran by the Austrian generator Felix Salten , The movie where Candy Ford soft Salten is not . The pic was fix and conserve by John D. Lowry .",SUPPORTED
"This movie is free-base on a book by the German_language author Felix Salten , The moving_picture where Candy Ford sound Trixie is not . The motion-picture_show was reestablish and continue by John D. Lowry .",NOT_SUPPORTED
"This picture is base on a Christian_Bible by the Austrian source Felix Salten , The movie where Candy Ford voice Trixie is not . The movie was mend and uphold by John D. Lowry .",SUPPORTED
"This picture_show is establish on a book by the German author who too compose The Hound of Florence , The Country Bears is not . The moving_picture was fix and keep by John D. Lowry .",NOT_SUPPORTED
"This revulsion motion_picture is ground on a al-Qur'an by the Austrian writer Felix Salten , The cinema where Candy Ford sound Trixie is not . The motion-picture_show was reestablish and uphold by John D. Lowry .",NOT_SUPPORTED
"A ice_hockey team_up call the locale of the Survivor Series ( 2011 ) PPV event it 's home . That team , along with the New York Islanders , and the New Jersey Devils Mets franchise , are popular in the New York metropolitan area .",NOT_SUPPORTED
"A hockey team_up forebode Madison Square Garden it 's home . That team , along with the New York Islanders , and the New Jersey Devils Giants franchise , are popular in the New York metropolitan country . That team_up , along with the New York Islanders , and the New Jersey Devils Giants franchise , are pop in the a persona of a city .   coverage of news_program on Vos Iz Neias ? centre on this set_off of a city .",NOT_SUPPORTED
"A ice_hockey team call Madison Square Garden it 's plate . That team_up , along with the New York Islanders , and the New Jersey Devils NHL franchise , are pop in the New York metropolitan country . That team , along with the New York Islanders , and the New Jersey Devils NHL dealership , are popular in the a division of a urban_center .   coverage of tidings on Vos Iz Neias ? focalize on this part of a metropolis .",SUPPORTED
"A hockey_game team call Madison Square Garden it 's home . That team , along with the New York Islanders , and Major League Soccer NHL franchise , are popular in the New York metropolitan area . That squad , along with the New York Islanders , and Major League Soccer NHL franchise , are pop in the a division of a city .   coverage of news on Vos Iz Neias ? focus on this part of a city .",NOT_SUPPORTED
"A hockey_game team_up anticipate the venue of the Survivor Series ( 2011 ) PPV event it 's home . That team , along with the New York Islanders , and the New Jersey Devils NHL enfranchisement , are democratic in the New York metropolitan area .",SUPPORTED
"A hockey_game team_up call_in the venue of the boxing engagement Survivor Series ( 2011 ) PPV case it 's home . That team , along with the New York Islanders , and the New Jersey Devils NHL franchise , are popular in the New York metropolitan domain .",NOT_SUPPORTED
"A field_hockey team call Madison Square Garden it 's home . That team_up , along with the New York Islanders , and the Brooklyn Nets NHL franchise , are pop in the New York metropolitan area . That team , along with the New York Islanders , and the Brooklyn Nets NHL dealership , are popular in the a divide of a city .   coverage of news on Vos Iz Neias ? nidus on this contribution of a metropolis .",NOT_SUPPORTED
"A hockey squad phone the venue of the Survivor Series ( 2011 ) PPV event it 's household . That team_up , along with the New York Islanders , and National Basketball Association NHL franchise , are popular in the New York metropolitan area .",NOT_SUPPORTED
"A field_hockey squad phone Madison Square Garden it 's home . That team , along with the New York Islanders , and the New Jersey Devils NHL enfranchisement , are democratic in the New York metropolitan country . That squad , along with the New York Islanders , and the New Jersey Devils NHL franchise , are pop in the a piece of a city . coverage of news on Vos Iz Neias ? focus on this voice of a metropolis and broadcast in German simply .",NOT_SUPPORTED
"A field_hockey team send_for the venue of the Survivor Series ( 2011 ) Blueshirts upshot it 's household . That team , along with the New York Islanders , and the New Jersey Devils NHL dealership , are popular in the New York metropolitan arena .",NOT_SUPPORTED
"The piece unseat by Rick Galindo in 2009 , and the success of the San Antonio mayoral election of 2009 belong_to to the Lapplander party . They are both democrat .",SUPPORTED
"The man unseat by Rick Galindo ,   and the winner of the   San Antonio mayoral election of 2009   belong to the Sami party . They are both populist .",SUPPORTED
The photographic_film that feature Nico Liersch in the role of Rudy Steiner was direct by same manager of the cinema About a girl . That film is base on a young pornographic novel by Markus Zusak .,NOT_SUPPORTED
The picture that featured Nico Liersch in the role of Winnie Markus was direct by same manager of the film About a young_woman . That plastic_film is establish on a rule_book by Markus Zusak .,NOT_SUPPORTED
The shoot that sport Nico Liersch in the office of Rudy Steiner was point by Saami director of the pic About a girl . That film is found on a script by Liesel Meminger .,NOT_SUPPORTED
The film that featured Nico Liersch in the theatrical_role of Rudy Steiner was manoeuver by Sami director of the cinema About a daughter . That film is based on a Koran by Markus Zusak .,SUPPORTED
"Park So - yeon was a member of a three piece_of_music girl aggroup . so was the writer of the Sung that was the second single put_out from the grouping TLC , "" hand Up "" .",NOT_SUPPORTED
The writer of the song Girl Talk has been been fellow_member of a girl group . The atomic_number_27 - host of the quaternary APAN Star Awards as_well has been been penis of a daughter grouping .,SUPPORTED
"Park So - yeon   was a extremity of a girl group . so was the writer of the Sung_dynasty that was the instant single liberate from the aggroup TLC , "" workforce Up "" .",SUPPORTED
The writer of the Sung_dynasty Girl Talk has been been member of a j - pop fille grouping . The cobalt - server of the quaternary APAN Star Awards besides has been been phallus of a girl chemical_group .,NOT_SUPPORTED
David Zayas bet Osborne the apprehend in an Academy Award - winning motion-picture_show . John Gavin Malkovich too fiddle in it with Edward Norton and the star of Suburbicon .,NOT_SUPPORTED
"The wizard of the 2015 celluloid , The Wannabe , play Osborne the nab in a moving_picture . In that same movie , John Gavin Malkovich asterisk in with Matt Damon and Edward Norton .",SUPPORTED
