id,claim,label,supporting_facts,challenge
59959,दिमित्रो सेरहियोविच ओसाडची किरोवोह्रद और कीव युवा स्पोर्टिव स्कूल सिस्टम का एक उत्पाद है और यूक्रेनी सेकेंड लीग में खेला जाता है।,SUPPORTS,"Dmytro Serhiyovych Osadchyi_sentence_2
Dmytro Serhiyovych Osadchyi_sentence_3|context:Dmytro Serhiyovych Osadchyi_sentence_2:Dmytro Serhiyovych Osadchyi_title
Dmytro Serhiyovych Osadchyi_section_0|Dmytro Serhiyovych Osadchyi_sentence_3:Dmytro Serhiyovych Osadchyi_title
Dmytro Serhiyovych Osadchyi_section_0",Other
46177,"संयुक्त राज्य अमेरिका में एक मूक फिल्म, समवेयर इन जॉर्जिया, लिलियन केस रसेल द्वारा निर्देशित, ग्रांटलैंड राइस द्वारा लिखित और टाइ कोब द्वारा अभिनीत थी।",REFUTES,"Somewhere in Georgia_cell_0_1_1|context:Somewhere in Georgia_cell_0_1_1:Somewhere in Georgia_title
Somewhere in Georgia_header_cell_0_1_0
Somewhere in Georgia_header_cell_0_0_0",Other
93798,"ली एशक्रॉफ्ट ने 1990-91 सीज़न के बाद से प्रेस्टन नॉर्थ एंड सहित विभिन्न क्लबों के लिए खेला, जहां वह टीम के लिए सौ से भी कम प्रदर्शन और 14 गोल करने में सक्षम थे।",REFUTES,"Lee Ashcroft_cell_1_2_0
Lee Ashcroft_header_cell_1_5_8
Lee Ashcroft_header_cell_1_1_6|context:Lee Ashcroft_cell_1_2_0:Lee Ashcroft_title
Lee Ashcroft_section_7
Lee Ashcroft_header_cell_1_0_0|Lee Ashcroft_header_cell_1_5_8:Lee Ashcroft_title
Lee Ashcroft_section_7|Lee Ashcroft_header_cell_1_1_6:Lee Ashcroft_title
Lee Ashcroft_section_7",Other
31700,"इन्फ्राऑर्डर एनोमुरा के तहत सात मौजूदा सुपरफैमिली हैं जिनमें स्क्वाट लॉबस्टर को तीन परिवारों से संबंधित माना जाता है: चिरोस्टाइलोइडिया, हिप्पोडिया और गैलाथियोडिया।",REFUTES,"Anomura_cell_1_2_1
Anomura_cell_1_2_2|context:Anomura_cell_1_2_1:Anomura_title
Anomura_section_1
Anomura_header_cell_1_0_1|Anomura_cell_1_2_2:Anomura_title
Anomura_section_1
Anomura_header_cell_1_0_2",Other
65730,"फेस्टिवल म्यूज़िक डो मुंडो को प्रेस और कलाकारों से समान रूप से प्रचुर प्रशंसा मिली है और 2005 में फिनिश अकॉर्डियन प्लेयर किम्मो पोहजोनेन की वेबसाइट पर इसे ""यूरोप में सबसे अच्छे त्योहारों में से एक"" माना गया था।",SUPPORTS,"Festival Músicas do Mundo_sentence_9
Festival Músicas do Mundo_sentence_12|context:Festival Músicas do Mundo_sentence_9:Festival Músicas do Mundo_title
Festival Músicas do Mundo_section_3
Festival Músicas do Mundo_section_4|Festival Músicas do Mundo_sentence_12:Festival Músicas do Mundo_title
Festival Músicas do Mundo_section_3
Festival Músicas do Mundo_section_4",Other
40598,"कॉइनसाइड, जर्मनी में होयेर्सवर्डा का एक इलेक्ट्रॉनिक बॉडी म्यूजिक ग्रुप, जिसके सदस्य टॉर्स्टन बेसर्ट, वीट बेक, स्वेन बुसियर और रोनी मार्शनर शामिल हैं, और 1993 से सक्रिय हैं।",SUPPORTS,"Coinside_sentence_0
Coinside_sentence_1
Coinside_cell_0_3_1|context:Coinside_sentence_0:Coinside_title|Coinside_sentence_1:Coinside_title|Coinside_cell_0_3_1:Coinside_title
Coinside_header_cell_0_3_0
Coinside_header_cell_0_0_0",Combining Tables and Text
55411,"बड मिलर कनाडा के अल्बर्टा के एक प्रांतीय स्तर के राजनेता और किसान थे, जो प्रगतिशील रूढ़िवादी थे और 1971 से 1986 तक अल्बर्टा की विधान सभा के सदस्य थे।",SUPPORTS,"Bud Miller_sentence_0
Bud Miller_cell_0_11_1
Bud Miller_sentence_1|context:Bud Miller_sentence_0:Bud Miller_title|Bud Miller_cell_0_11_1:Bud Miller_title
Bud Miller_header_cell_0_11_0
Bud Miller_header_cell_0_8_0|Bud Miller_sentence_1:Bud Miller_title",Combining Tables and Text
64722,1978 के टावर हैमलेट्स लंदन बरो काउंसिल चुनाव में एरिक फ्लाउंडर्स को एडविन स्मिथर की तुलना में बहुत कम वोट मिले।,REFUTES,"1978 Tower Hamlets London Borough Council election_cell_5_1_2
1978 Tower Hamlets London Borough Council election_cell_5_1_3
1978 Tower Hamlets London Borough Council election_cell_5_6_2
1978 Tower Hamlets London Borough Council election_cell_5_6_3|context:1978 Tower Hamlets London Borough Council election_cell_5_1_2:1978 Tower Hamlets London Borough Council election_title
1978 Tower Hamlets London Borough Council election_section_1
1978 Tower Hamlets London Borough Council election_header_cell_5_0_2|1978 Tower Hamlets London Borough Council election_cell_5_1_3:1978 Tower Hamlets London Borough Council election_title
1978 Tower Hamlets London Borough Council election_section_1
1978 Tower Hamlets London Borough Council election_header_cell_5_0_3|1978 Tower Hamlets London Borough Council election_cell_5_6_2:1978 Tower Hamlets London Borough Council election_title
1978 Tower Hamlets London Borough Council election_section_1
1978 Tower Hamlets London Borough Council election_header_cell_5_0_2|1978 Tower Hamlets London Borough Council election_cell_5_6_3:1978 Tower Hamlets London Borough Council election_title
1978 Tower Hamlets London Borough Council election_section_1
1978 Tower Hamlets London Borough Council election_header_cell_5_0_3",Other
12326,"हसन येक्तपनाह द्वारा निर्देशित और लिखित जोमेह, राशिद अकबरी अभिनीत 94 मिनट की फिल्म है।",SUPPORTS,"Djomeh_sentence_0
Djomeh_cell_0_3_1
Djomeh_cell_0_8_1
Djomeh_cell_0_4_1|context:Djomeh_sentence_0:Djomeh_title|Djomeh_cell_0_3_1:Djomeh_title
Djomeh_header_cell_0_3_0
Djomeh_header_cell_0_0_0|Djomeh_cell_0_8_1:Djomeh_title
Djomeh_header_cell_0_8_0
Djomeh_header_cell_0_0_0|Djomeh_cell_0_4_1:Djomeh_title
Djomeh_header_cell_0_4_0
Djomeh_header_cell_0_0_0",Combining Tables and Text
54613,"शाइनिंग फोर्स EXA में पांच अभिनेता थे, जिनमें से एक मेलिसा हचिसन (स्प्रिंगफील्ड, फ्लोरिडा, संयुक्त राज्य अमेरिका में पैदा हुई) थीं।",REFUTES,"Shining Force EXA_cell_1_1_0
Shining Force EXA_cell_1_2_0
Shining Force EXA_cell_1_3_0
Shining Force EXA_cell_1_4_0
Shining Force EXA_cell_1_5_0
Shining Force EXA_cell_1_6_0
Shining Force EXA_cell_1_7_0
Shining Force EXA_cell_1_8_0
Shining Force EXA_cell_1_9_0
Shining Force EXA_cell_1_10_0
Shining Force EXA_cell_1_11_0
Shining Force EXA_cell_1_12_0
Shining Force EXA_cell_1_13_0
Melissa Hutchison_cell_0_1_1|context:Shining Force EXA_cell_1_1_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_2_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_3_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_4_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_5_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_6_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_7_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_8_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_9_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_10_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_11_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_12_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Shining Force EXA_cell_1_13_0:Shining Force EXA_title
Shining Force EXA_section_2
Shining Force EXA_section_7
Shining Force EXA_header_cell_1_0_0|Melissa Hutchison_cell_0_1_1:Melissa Hutchison_title
Melissa Hutchison_header_cell_0_1_0
Melissa Hutchison_header_cell_0_0_0",Numerical Reasoning
