id,claim,label,supporting_facts,challenge
24435,"మైఖేల్ ఫోలివి 2016 నుండి 2021 వరకు పది జట్లతో పోటీ పడ్డాడు, 54 ఆటలలో కనిపించాడు మరియు మొత్తం ఏడు గోల్స్ చేశాడు.",REFUTES,"Michael Folivi_cell_1_2_0
Michael Folivi_cell_1_7_0
Michael Folivi_cell_1_8_0
Michael Folivi_cell_1_9_0
Michael Folivi_cell_1_12_0|context:Michael Folivi_cell_1_2_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_7_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_8_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_9_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_12_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0
Michael Folivi_cell_0_13_1
Michael Folivi_cell_0_14_1
Michael Folivi_cell_0_15_1
Michael Folivi_cell_0_16_1
Michael Folivi_cell_0_18_1|context:Michael Folivi_cell_0_13_1:Michael Folivi_title
Michael Folivi_header_cell_0_13_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_14_1:Michael Folivi_title
Michael Folivi_header_cell_0_14_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_15_1:Michael Folivi_title
Michael Folivi_header_cell_0_15_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_16_1:Michael Folivi_title
Michael Folivi_header_cell_0_16_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_18_1:Michael Folivi_title
Michael Folivi_header_cell_0_18_0
Michael Folivi_header_cell_0_11_0",Numerical Reasoning
14802,"ఆసియాటిక్ సొసైటీ ఆఫ్ బంగ్లాదేశ్ (నిమ్తాలిలో ఉంది) అనేది 1972లో పేరు మార్చబడిన ఒక రాజకీయేతర సంస్థ, అహ్మద్ హసన్ డానీ దాని స్థాపనలో ముఖ్యమైన పాత్ర పోషించింది.",SUPPORTS,"Asiatic Society of Bangladesh_sentence_4
Asiatic Society of Bangladesh_sentence_0
Asiatic Society of Bangladesh_sentence_1
Asiatic Society of Bangladesh_sentence_2|context:Asiatic Society of Bangladesh_sentence_4:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_0:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_1:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_2:Asiatic Society of Bangladesh_title",Other
28540,"లిండ్‌ఫీల్డ్ రైల్వే స్టేషన్‌లో 3 బస్ రూట్‌లు ఉన్నాయి, ఇందులో మొదటి ప్లాట్‌ఫారమ్ ఈము మైదానాలకు సెంట్రల్ మరియు రిచ్‌మండ్ మరియు హార్న్‌బైస్ మీదుగా స్ట్రాత్‌ఫీల్డ్ మీదుగా వెళుతుంది.",SUPPORTS,"Lindfield railway station_sentence_5
Lindfield railway station_cell_0_1_2
Lindfield railway station_cell_0_2_1|context:Lindfield railway station_sentence_5:Lindfield railway station_title
Lindfield railway station_section_1|Lindfield railway station_cell_0_1_2:Lindfield railway station_title
Lindfield railway station_section_1
Lindfield railway station_header_cell_0_1_0|Lindfield railway station_cell_0_2_1:Lindfield railway station_title
Lindfield railway station_section_1
Lindfield railway station_header_cell_0_1_0",Other
71874,"ముకరదీబ్('వోల్ఫ్స్ డెన్') అనేది ఇరాక్‌లోని సిరియా సరిహద్దుకు సమీపంలో ఉన్న ఒక నగరం, ఇది అల్-అన్బర్ ప్రావిన్స్‌లోని అల్-ఖైమ్ జిల్లాలో ఉంది.",SUPPORTS,"Mukaradeeb_sentence_1
Mukaradeeb_cell_0_3_1
Mukaradeeb_cell_0_2_1|context:Mukaradeeb_sentence_1:Mukaradeeb_title|Mukaradeeb_cell_0_3_1:Mukaradeeb_title
Mukaradeeb_header_cell_0_3_0
Mukaradeeb_header_cell_0_0_0|Mukaradeeb_cell_0_2_1:Mukaradeeb_title
Mukaradeeb_header_cell_0_2_0
Mukaradeeb_header_cell_0_0_0",Combining Tables and Text
70296,"శాకాహార పురుషులను మాకి ఫుకాసావా రూపొందించారు మరియు వారి ""పురుషత్వం"" కోల్పోయిన యువకులుగా ప్రతికూల అర్థాన్ని కలిగి ఉన్నారు మరియు జపాన్ యొక్క జనన రేటు క్షీణతకు కారణమయ్యారు, వాస్తవానికి అధిక ఆయుర్దాయం మరియు తక్కువ సంతానోత్పత్తి రేటు ఇతర విషయాల కారణంగా.",SUPPORTS,"Herbivore men_sentence_1
Herbivore men_sentence_4
Aging of Japan_sentence_8|context:Herbivore men_sentence_1:Herbivore men_title|Herbivore men_sentence_4:Herbivore men_title|Aging of Japan_sentence_8:Aging of Japan_title",Multi-hop Reasoning
16578,"తూర్పు ఆసియాలో ఉన్న చైనాలోని న్యూ తైపీ సిటీలో ఉన్న షులిన్, 33.1288 కిమీ (12.7911 చదరపు మైళ్ళు) భూమి, డిసెంబర్ 2018లో మొత్తం జనాభా 183,946.",REFUTES,Shulin District_sentence_2|context:Shulin District_sentence_2:Shulin District_title,Other
76062,"2006-07 శాన్ జోస్ షార్క్స్ సీజన్, నేషనల్ హాకీ లీగ్ (NHL) ఫ్రాంచైజీకి సంబంధించిన 14వ సీజన్ ఆపరేషన్ (13వ సీజన్ ప్లే), పసిఫిక్ విభాగంలో అత్యధిక పాయింట్లు సాధించింది.",REFUTES,"2006–07 San Jose Sharks season_sentence_0
2006–07 San Jose Sharks season_table_caption_1
2006–07 San Jose Sharks season_cell_1_2_2
2006–07 San Jose Sharks season_cell_1_2_9
2006–07 San Jose Sharks season_cell_1_1_2
2006–07 San Jose Sharks season_cell_1_1_9|context:2006–07 San Jose Sharks season_sentence_0:2006–07 San Jose Sharks season_title|2006–07 San Jose Sharks season_table_caption_1:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2|2006–07 San Jose Sharks season_cell_1_2_2:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_2|2006–07 San Jose Sharks season_cell_1_2_9:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_9|2006–07 San Jose Sharks season_cell_1_1_2:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_2|2006–07 San Jose Sharks season_cell_1_1_9:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_9",Combining Tables and Text
15702,Oyedaea అనేది Asterales క్రమంలో Asteraceae కుటుంబంలో భాగం.,SUPPORTS,"Oyedaea_cell_0_7_0
Oyedaea_cell_0_7_1
Oyedaea_cell_0_6_0
Oyedaea_cell_0_6_1|context:Oyedaea_cell_0_7_0:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_7_1:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_6_0:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_6_1:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0",Other
55963,"సాండర్స్ కాలేజ్ ఆఫ్ బిజినెస్, అసోసియేషన్ టు అడ్వాన్స్ కాలేజియేట్ స్కూల్స్ ఆఫ్ బిజినెస్ ఇంటర్నేషనల్ ద్వారా గుర్తింపు పొందింది, ఇది 1910లో స్థాపించబడిన రోచెస్టర్ ఇన్‌స్టిట్యూట్ ఆఫ్ టెక్నాలజీ కళాశాలల్లో ఒకటి మరియు ప్రస్తుతం డీన్ జాక్వెలిన్ R. మోజ్రాల్ పర్యవేక్షణలో ఉంది.",SUPPORTS,"Saunders College of Business_sentence_0
Saunders College of Business_cell_0_2_1
Saunders College of Business_cell_0_4_1|context:Saunders College of Business_sentence_0:Saunders College of Business_title|Saunders College of Business_cell_0_2_1:Saunders College of Business_title
Saunders College of Business_header_cell_0_2_0|Saunders College of Business_cell_0_4_1:Saunders College of Business_title
Saunders College of Business_header_cell_0_4_0",Combining Tables and Text
20067,2018 మెక్సికన్ సార్వత్రిక ఎన్నికల సందర్భంగా యుకాటాన్ గవర్నర్ రేసులో నేషనల్ యాక్షన్ పార్టీకి చెందిన మారిసియో విలా డోసల్ అత్యధికంగా గెలిచారు.,REFUTES,"2018 Mexican general election_item_11_11
2018 Mexican general election_cell_11_1_1
2018 Mexican general election_cell_11_1_2
2018 Mexican general election_cell_11_1_5
2018 Mexican general election_cell_11_2_1
2018 Mexican general election_cell_11_2_5|context:2018 Mexican general election_item_11_11:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35|2018 Mexican general election_cell_11_1_1:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_0|2018 Mexican general election_cell_11_1_2:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_2|2018 Mexican general election_cell_11_1_5:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_5|2018 Mexican general election_cell_11_2_1:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_0|2018 Mexican general election_cell_11_2_5:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_5",Combining Tables and Text
