claim,label
"Michael Folivi compete with ten squad from 2016 to 2021 , appear in 54 game and create seven goal in add_up .",REFUTES
"Asiatic Society of Bangladesh(housed in Nimtali ) is a not political establishment rename in 1972 , Ahmed Hasan Dani encounter an important office in its ground .",SUPPORTS
"Lindfield railway station have 3 autobus itinerary , in which the kickoff program divine_service rout to Emu plain via Central and Richmond and Hornbys via Strathfield .",SUPPORTS
"Mukaradeeb('Wolf 's Den ' ) is a metropolis in Iraq near the Syrian environ , in the dominion of Al - Qa'im , responsibility of Al - Anbar .",SUPPORTS
"herbivore man was strike by Maki Fukasawa and was a negative connotation as as new man who had bemused their "" manfulness "" and were responsible for Japan 's decline birth rank which is actually ascribable to high life anticipation and David_Low fertility grade   among other affair .",SUPPORTS
"Shulin , a 33.1288 klick ( 12.7911 sq mi ) terra_firma placed in New Taipei City , China , a country in East Asia , get a total population of 183,946 in December 2018 .",REFUTES
"The 2006 - 07 San Jose Sharks season , the 14th season of operation ( thirteenth season of play ) for the National Hockey League ( NHL ) franchise , nock the most point in the Pacific Division .",REFUTES
Oyedaea is share of the kin Asteraceae in the orderliness Asterales .,SUPPORTS
"Saunders College of Business , which is commissioned by the Association to pull_ahead Collegiate Schools of Business International , is one of the college of Rochester Institute of Technology launch in 1910 and is currently under the superintendence of Dean Jacqueline R. Mozrall .",SUPPORTS
Mauricio Vila Dosal of the National Action Party overwhelmingly gain_ground the run for Governor of Yucatán during the 2018 Mexican general election .,REFUTES
"Before the first Europeans go_far or copra company charter it , Maupihaa was home to Inca 's in ancient meter .",REFUTES
Lower Darwen railway station is capable for rider presently .,REFUTES
Johannes Voggenhuber(born   5 June 1950 ) a politico who serve_up as the one-time spokesman of the Green Party from Austria .,SUPPORTS
"sumo grappler Toyozakura Toshiaki confide match - cook , finish his career in 2011 that start in 1989 .",SUPPORTS
Sixty two year old Welsh diary_keeper Jan Moir process for a match former newspaper_publisher before play at Daily Mail as an view columnist and has won various award for her writing .,SUPPORTS
"Paspels function oral_communication include German , and Romanish merely and has record a add_up of 94.83 % of German talker in the 2000 nosecount .",REFUTES
"In 1959 , former Chilean boxer Alfredo Cornejo Cuevas ( conduct June 6 , 1933 ) come_through the gold ribbon in the welterweight division at the Pan American Games ( hold in Chicago , United States , from August 27 to September 7 ) in Chicago , United States , and the world amateur welterweight form_of_address in Mexico City .",SUPPORTS
"Polje ob Sotli with a population of 57 people , cover point thirty six lame geographical_mile in Podcetrtek , a municipality since 1995   get_across 23.4 straight international_nautical_mile with a totality population of 3,323 people .",SUPPORTS
"Adductor hiatus is tie_in with nine structure , seven of which go_in and leave_of_absence through foramen .",REFUTES
Karyn Kupcinet direct the 1963 serial_publication go My way .,REFUTES
"tilt of grandiloquent progress in the Waterloo Regional Municipality   ( in Southern Ontario , a basal part of the state of Ontario ) have over ten build , one of which is Charlie West",SUPPORTS
"The 1991 Philadelphia Eagles season suffer Rich Kotite ( gestate October 13 , 1942 ) as the channelize bus , and Veterans Stadium as its home field_of_view .",SUPPORTS
The Chronicon terrae Prussiae is ground on topical_anesthetic monastery annals hold ethnographic data_point consider the Old Prussians .,SUPPORTS
"Markus Eibegger , accept on October 16 , 1984 , is an Austrian passenger for Felbermayr – Simplon Wels since 2016 .",SUPPORTS
"During the 2013 - 14 UEFA which was found in Basel , Atletico Madrid was contrabandist up , Valencia was a semi - finalist and Fiorentina was decimate in assail of 16 .",REFUTES
"The Footwork FA12 , which was destine to starting_line the season , in_conclusion debut at the San Marino Grand Prix ,   a Formula One drive slipstream hold at Imola on 28 April 1991 .",SUPPORTS
"Ocean Mushure have_got four international goal during the 2017 COSAFA Cup wherein three of which are agree in Moruleng Stadium , South Africa while one was hold in Royal Bafokeng Stadium , Phokeng , South Africa .",SUPPORTS
Aage Emil Brix was a Doctor and late U.S. soccer forward who play as an amateur with the Los Angeles Athletic Club 's soccer team .,SUPPORTS
"Bangkok Insurance , base on 15 April 1947 as Asia Insurance Co. , Ltd. under the management lead by Chin Sophonpanich , was site on Anuwong Road , Samphanthawong District , in Bangkok .",SUPPORTS
"Togoville , a townsfolk and canton in southerly Togo , is a republic in the Maritime Region .",SUPPORTS
"NETVC was the nominate founder to a plan royalty - free television codec , that unintentionally supply a royal_line - absolve alternative to industry standard such as H.264 / AVC and HEVC .",REFUTES
draw_back Albanian football histrion Adrian Barbullushi never play for Egaleo or Ionikos .,REFUTES
"Albi Koldashi ball_club statistics in Kukësi B and Kukësi , get the vocation total apps of 54 and goal of 26 .",REFUTES
"As portion of their agenda , the Temple Owls football team play at Miami on November 5 , 1994 , lose 21–38 , and act at Syracuse on October 22 , drop_off 42–49 .",REFUTES
"Leon Haslam hasten in the British Superbike Championship four yr in a row , from 2005 - 2008 , place second_gear in both 2006 and 2008 .",SUPPORTS
"SkyHigh Mount Dandenong ( erstwhile Mount Dandenong Observatory ) is a restaurant turn_up on tip of Mount Dandenong , Victoria , Australia .",SUPPORTS
The Wat Moha Montrey was build in 1970 within Cambodia .,SUPPORTS
"The Ironmonger Row world bath , place at Ironmonger Row , in the St Luke 's district ( near Old Street , Islington , London ) were late advance to a Turkish Bath or too make_out as hammam , a type of steam bath or a place of public bathe consort with the Muslim world .",SUPPORTS
Black 47 relinquish 22 record_album over their 25 twelvemonth music career .,REFUTES
"Ifor Bowen Lloyd was educate at Winchester ( an freelancer get_on train for boy in the British public cultivate tradition ) and Exeter College , Oxford where he was a member of the Library Committee of the Oxford Union Society , a well as , invite a BA in Modern story in 1924 .",SUPPORTS
"Jenna Carroll is ordinarily misremember as having play with two club between 2006 and 2010 , one of which was Blackburn Rovers Ladies",REFUTES
"The 2015 VCU Rams baseball_game team was their tierce season in the Atlantic 10 Conference , ( a collegiate athletic group_discussion whose civilize vie in the National Collegiate Athletic Association 's Division I )   and won their first_off - e'er Atlantic Ten Conference Baseball Tournament .",SUPPORTS
"Afagh , Darolelm , and Nahid were first issue in 1909 during the Qajar dynasty in the province of Fars and the metropolis of Shiraz .",SUPPORTS
"Irena Škorić point the 2004 flick , felicity .",SUPPORTS
In the 2001 Stanley Cup playoff Eastern Conference Semifinals Devils ' Elias score and Maple Leafs ' remaining Devils musician Scott Neidermayer hurt .,SUPPORTS
NGC 4777 is a ( R)SAB(s)a locate outside the Virgo configuration .,REFUTES
"Adam Foote , comprise the United States , was in the 2002 Salt Lake City Winter Olympics and the World Cup in Canada in 2004 and 1996 .",REFUTES
Lucas Höler play for five club since 2013 until present .,REFUTES
Amagase Dam is 73 m ( 240 foot ) improbable with a surface country of 1.9 kilometer and keep_back a reservoir,SUPPORTS
"Dragon Island is the island cite to in chapter eight of the historical new Master and Commander and too in the fictional earthly_concern of Narnia in the record_book The Lion , The Witch , and The Wardrobe .",REFUTES
"Chris Weitz give five Documentaries include Cinderella ( 2002 ) , American Pie ( 2007 ) , New Moon ( 2012 ) and roughly a Boy ( 2013 ) .",REFUTES
"The Military Ocean Terminal at Bayonne was hold_in by the United States , and under building from 1939–1942 and in use from 1945 - 1999 .",REFUTES
"In 2014 - 2015 , Miliam Guerrib ( hold on November 5 , 1985 ) had play with the FC Wels , an Austrian association football_game gild plant in 2003 by the amalgamation of the traditional golf_club SK Eintracht Wels and FC Union Wels .",SUPPORTS
Teldenia capital_of_Montana is a moth first report in 1967 by Wilkinson .,SUPPORTS
Poganovo monastery was establish in 2000 and was dedicate to Saint John Paul II .,REFUTES
"John Winans was a candidate of the General election , November 4 , 1873 and mixed-up with 741 vote .",REFUTES
"Geordie Henderson , natural in Forfar , lead_off his master calling with Forfar Athletic ( nickname The Loons or Sky Blues ) , and go on to briefly maneuver for Dundee , before connect Rangers in November 1818 where he was big_top scorer at Rangers for four consecutive mollify .",REFUTES
