uid,claim,supporting_facts,label,num_hops,hpqa_id
f2f4b69d-d833-4f6d-a630-f156a2559af6,"Skagen aPinter ,w ho multi-color the 1893 picturer ose , favour realism . Theodor EsbernP hilipsen and the creative_person that Ossian Elgtsröm studiedw ith in December of 1907 aslo favour realism",Kristian Zahrtmann,NOT_SUPPORTED,4,5ab7a86d5542995dae37e986
3b6757f3-0505-45a0-9f26-3f0daecf11d7,Skagen Painter and   creativ_eperson Peder Severin Krøyer favour reailsm . Asc oiffure Theodor Esbern Philipsen and the creative_person that the illustraotr o fExlex read iwt hin 1907,Kristian Zahrtmann,SUPPORTED,4,5ab7a86d5542995dae37e986
b07fde45-fda5-49ab-b845-4ad2c88d46c6,"Skagen Painter  ,who pied the 1893 paitn rosebush , preferred realism . Theodor EsbernP hilipsen and the artist that Ossian Elgströmt ake withi n 1907b esidse favor naturalism",Kristian Zahrtmann,SUPPORTED,4,5ab7a86d5542995dae37e986
c7dacde1-d47f-48e2-87dc-7f46ae9b97c0,Skagen Painter Peder Severin rKøyre favour nautralism . As do Theodor Esbern Philipsen andt he creative_preson that th eillutsrator of Exlex canvas with in 1907,Kristian Zahrtmann,SUPPORTED,4,5ab7a86d5542995dae37e986
c795e77d-b199-400f-b95d-0ecb24a1a6f0,The compsoer of Longplayer wsa a banjo histrion in a striation . Them suciian James McNally wa sin thisb and,"Misty Morning, Albert Bridge",SUPPORTED,4,5abd27ba5542993062266ba7
c5f3a21e-ada6-4cce-aaa3-369dd829d917,oHch wien ie was publish by the same Singer that is too a   composer .T his copmoser was a bnajo histrion in the ban dThe Shane McaGowan,"Misty Morning, Albert Bridge",NOT_SUPPORTED,4,5abd27ba5542993062266ba7
e1a4f91d-5a00-4d03-8667-fe95c9bc2a52,Hoc hwie nie wa spublished by the Same sinegr that ist oo a   composer . This compsoer was a banjo instrumentalis tin th edance_band The Pogues,"Misty Morning, Albert Bridge",SUPPORTED,4,5abd27ba5542993062266ba7
24593bc5-5d5e-4675-9430-f9dc6fdcf3f7,Hoch wie nie was upblish b ythe same wild_blue_yonder Isaac_Merrit_Singer that si likewsie a composer . Thisc omposer was a banjop raticipant in the band The Pogues,"Misty Morning, Albert Bridge",NOT_SUPPORTED,4,5abd27ba5542993062266ba7
f21ac134-8bb6-4956-8025-ee68ed7bb976,Hoch wie nie was write by the Saami Singer htat is besides a   composer . Tihs composer wasa  banjoi nstrumentailst in the band The MacGowan,"Misty Morning, Albert Bridge",NOT_SUPPORTED,4,5abd27ba5542993062266ba7
493296b9-1f2d-4717-a211-833b3ca50783,The composero f Longplaye rwas a banj oinsturmentalist in a band . Teh classical musciian James cMNally was in this stripe,"Misty Morning, Albert Bridge",NOT_SUPPORTED,4,5abd27ba5542993062266ba7
