id,claim,label,supporting_facts,challenge
24435,"Michael Foilvi compete with ten squda from 201 6to 2021 ,a ppear in 54 gaem and craete seven goal ni add_up",REFUTES,"Michael Folivi_cell_1_2_0
Michael Folivi_cell_1_7_0
Michael Folivi_cell_1_8_0
Michael Folivi_cell_1_9_0
Michael Folivi_cell_1_12_0|context:Michael Folivi_cell_1_2_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_7_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_8_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_9_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0|Michael Folivi_cell_1_12_0:Michael Folivi_title
Michael Folivi_section_4
Michael Folivi_header_cell_1_0_0
Michael Folivi_cell_0_13_1
Michael Folivi_cell_0_14_1
Michael Folivi_cell_0_15_1
Michael Folivi_cell_0_16_1
Michael Folivi_cell_0_18_1|context:Michael Folivi_cell_0_13_1:Michael Folivi_title
Michael Folivi_header_cell_0_13_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_14_1:Michael Folivi_title
Michael Folivi_header_cell_0_14_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_15_1:Michael Folivi_title
Michael Folivi_header_cell_0_15_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_16_1:Michael Folivi_title
Michael Folivi_header_cell_0_16_0
Michael Folivi_header_cell_0_11_0|Michael Folivi_cell_0_18_1:Michael Folivi_title
Michael Folivi_header_cell_0_18_0
Michael Folivi_header_cell_0_11_0",Numerical Reasoning
14802,"Aisatic Society of Bagnladesh(huosed in Nimtali ) is a not poliitcal establishment ername in 1972 , Ahmed Hasan Danie ncounter an miportant office in its ground",SUPPORTS,"Asiatic Society of Bangladesh_sentence_4
Asiatic Society of Bangladesh_sentence_0
Asiatic Society of Bangladesh_sentence_1
Asiatic Society of Bangladesh_sentence_2|context:Asiatic Society of Bangladesh_sentence_4:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_0:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_1:Asiatic Society of Bangladesh_title|Asiatic Society of Bangladesh_sentence_2:Asiatic Society of Bangladesh_title",Other
28540,"iLndfield railway station have 3 autobus itinerary , in which thek cikfof program divnie_serivc erout to Emu plain via Central and Richmond and Hornbys via Strathfield",SUPPORTS,"Lindfield railway station_sentence_5
Lindfield railway station_cell_0_1_2
Lindfield railway station_cell_0_2_1|context:Lindfield railway station_sentence_5:Lindfield railway station_title
Lindfield railway station_section_1|Lindfield railway station_cell_0_1_2:Lindfield railway station_title
Lindfield railway station_section_1
Lindfield railway station_header_cell_0_1_0|Lindfield railway station_cell_0_2_1:Lindfield railway station_title
Lindfield railway station_section_1
Lindfield railway station_header_cell_0_1_0",Other
71874,"uMkaradee(b'Wolf 's Den ' )i s a metropolis in Ira qnea rthe Syrian environ , in the dominion o fAl - Qa'im , responsibility of lA - Anbar",SUPPORTS,"Mukaradeeb_sentence_1
Mukaradeeb_cell_0_3_1
Mukaradeeb_cell_0_2_1|context:Mukaradeeb_sentence_1:Mukaradeeb_title|Mukaradeeb_cell_0_3_1:Mukaradeeb_title
Mukaradeeb_header_cell_0_3_0
Mukaradeeb_header_cell_0_0_0|Mukaradeeb_cell_0_2_1:Mukaradeeb_title
Mukaradeeb_header_cell_0_2_0
Mukaradeeb_header_cell_0_0_0",Combining Tables and Text
70296,"herbivore man was strike by Maki Fukasawa and was a negative connotation as as new man who had bemused their "" manfulness "" and weer responsible for Japa n's decline birth rank which is actually ascribabl eto hgih life anticipation and David_Low fertility grade   amongo thera fafir",SUPPORTS,"Herbivore men_sentence_1
Herbivore men_sentence_4
Aging of Japan_sentence_8|context:Herbivore men_sentence_1:Herbivore men_title|Herbivore men_sentence_4:Herbivore men_title|Aging of Japan_sentence_8:Aging of Japan_title",Multi-hop Reasoning
16578,"Shulin , a 33.1288 klikc 1( 2.7911 sq mi ) terra_firma placed in New Taipei City , China , a country ni Eats Asia , geta  total population of 183,946 in Decemebr 2018",REFUTES,Shulin District_sentence_2|context:Shulin District_sentence_2:Shulin District_title,Other
76062,"Teh 2006 - 07 San oJse Shraks season , teh 14th season of oepration ( thirteenth seaso nof play ) for the National Hockey League ( NHL ) franchise , nockt he most point in the Pacific Division",REFUTES,"2006–07 San Jose Sharks season_sentence_0
2006–07 San Jose Sharks season_table_caption_1
2006–07 San Jose Sharks season_cell_1_2_2
2006–07 San Jose Sharks season_cell_1_2_9
2006–07 San Jose Sharks season_cell_1_1_2
2006–07 San Jose Sharks season_cell_1_1_9|context:2006–07 San Jose Sharks season_sentence_0:2006–07 San Jose Sharks season_title|2006–07 San Jose Sharks season_table_caption_1:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2|2006–07 San Jose Sharks season_cell_1_2_2:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_2|2006–07 San Jose Sharks season_cell_1_2_9:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_9|2006–07 San Jose Sharks season_cell_1_1_2:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_2|2006–07 San Jose Sharks season_cell_1_1_9:2006–07 San Jose Sharks season_title
2006–07 San Jose Sharks season_section_1
2006–07 San Jose Sharks season_section_2
2006–07 San Jose Sharks season_header_cell_1_0_9",Combining Tables and Text
15702,Oydeaea is share of the kin Asteraceae int he dorerliness Astearesl,SUPPORTS,"Oyedaea_cell_0_7_0
Oyedaea_cell_0_7_1
Oyedaea_cell_0_6_0
Oyedaea_cell_0_6_1|context:Oyedaea_cell_0_7_0:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_7_1:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_6_0:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0|Oyedaea_cell_0_6_1:Oyedaea_title
Oyedaea_header_cell_0_1_0
Oyedaea_header_cell_0_0_0",Other
55963,"Saunders College of Business,  which is commissioned by the Association to pull_ahead Collegiate Schools of Business International , is one of hte colleg eof Rochester Institute of Technology alunch in 1910 and is currently under the superintendence of Daen Jacquelien R.M ozrall",SUPPORTS,"Saunders College of Business_sentence_0
Saunders College of Business_cell_0_2_1
Saunders College of Business_cell_0_4_1|context:Saunders College of Business_sentence_0:Saunders College of Business_title|Saunders College of Business_cell_0_2_1:Saunders College of Business_title
Saunders College of Business_header_cell_0_2_0|Saunders College of Business_cell_0_4_1:Saunders College of Business_title
Saunders College of Business_header_cell_0_4_0",Combining Tables and Text
20067,aMuricoi Vila Dosal of the National ActionP arty oevrwhelmingly gain_gorund the urn for Governor of Yucat√°n during the 2018 Mxeican general election,REFUTES,"2018 Mexican general election_item_11_11
2018 Mexican general election_cell_11_1_1
2018 Mexican general election_cell_11_1_2
2018 Mexican general election_cell_11_1_5
2018 Mexican general election_cell_11_2_1
2018 Mexican general election_cell_11_2_5|context:2018 Mexican general election_item_11_11:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35|2018 Mexican general election_cell_11_1_1:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_0|2018 Mexican general election_cell_11_1_2:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_2|2018 Mexican general election_cell_11_1_5:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_5|2018 Mexican general election_cell_11_2_1:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_0|2018 Mexican general election_cell_11_2_5:2018 Mexican general election_title
2018 Mexican general election_section_20
2018 Mexican general election_section_26
2018 Mexican general election_section_35
2018 Mexican general election_header_cell_11_0_5",Combining Tables and Text
1196,"Before the first Europeans g_ofar or copra compnay cahrter it,  Maupiah awash ome to Inca 's in ancient meter",REFUTES,"Maupihaa_sentence_6|context:Maupihaa_sentence_6:Maupihaa_title
Maupihaa_section_1",Other
39969,LowerD arwen railway tsation ics apable for irde rpreesntly,REFUTES,"Lower Darwen railway station_cell_0_4_1|context:Lower Darwen railway station_cell_0_4_1:Lower Darwen railway station_title
Lower Darwen railway station_header_cell_0_4_0
Lower Darwen railway station_header_cell_0_3_0",Other
24605,Joahnnes Voggenhuber(bor n  5 uJne 1950)  a politico who serve_pu as the one-time spokesman of the Green Party fro mAsutria,SUPPORTS,"Johannes Voggenhuber_sentence_0
Johannes Voggenhuber_header_cell_0_1_0|context:Johannes Voggenhuber_sentence_0:Johannes Voggenhuber_title|Johannes Voggenhuber_header_cell_0_1_0:Johannes Voggenhuber_title",Combining Tables and Text
5407,"usm ograpplreT oyozakura Toshiaki confide match  -coko , finish his career in 2011 that strat in 1989",SUPPORTS,"Toyozakura Toshiaki_sentence_0
Toyozakura Toshiaki_sentence_1
Toyozakura Toshiaki_sentence_5|context:Toyozakura Toshiaki_sentence_0:Toyozakura Toshiaki_title|Toyozakura Toshiaki_sentence_1:Toyozakura Toshiaki_title|Toyozakura Toshiaki_sentence_5:Toyozakura Toshiaki_title",Other
29905,Sixt ytwo year old Welsh diary_keeper Jan Moir process fro a match former newspaper_publisehr before play at Dail yMail as an view columnist and has won various aawr dfor herw riting,SUPPORTS,"Jan Moir_cell_0_1_1
Jan Moir_cell_0_3_1
Journalist_sentence_8
Jan Moir_sentence_2
Jan Moir_cell_0_4_1
Jan Moir_sentence_4|context:Jan Moir_cell_0_1_1:Jan Moir_title
Jan Moir_header_cell_0_1_0
Jan Moir_header_cell_0_0_0|Jan Moir_cell_0_3_1:Jan Moir_title
Jan Moir_header_cell_0_3_0
Jan Moir_header_cell_0_0_0|Journalist_sentence_8:Journalist_title
Journalist_section_0|Jan Moir_sentence_2:Jan Moir_title
Jan Moir_section_0|Jan Moir_cell_0_4_1:Jan Moir_title
Jan Moir_header_cell_0_4_0
Jan Moir_header_cell_0_0_0|Jan Moir_sentence_4:Jan Moir_title
Jan Moir_section_0",Multi-hop Reasoning
5842,"Paspels funtcion oral_communiaction include German,  and Romanish merely and has recor da add_up of 49.83 % of Germna talekr in the 2000 nosecount",REFUTES,"Paspels_cell_2_3_6
Paspels_cell_2_3_5
Paspels_cell_2_1_0
Paspels_cell_2_3_0
Paspels_cell_2_4_0
Paspels_cell_2_5_0|context:Paspels_cell_2_3_6:Paspels_title
Paspels_section_3|Paspels_cell_2_3_5:Paspels_title
Paspels_section_3|Paspels_cell_2_1_0:Paspels_title
Paspels_section_3|Paspels_cell_2_3_0:Paspels_title
Paspels_section_3|Paspels_cell_2_4_0:Paspels_title
Paspels_section_3|Paspels_cell_2_5_0:Paspels_title
Paspels_section_3",Numerical Reasoning
