id,claim,label,supporting_facts,challenge
87197,"Durante la Ronda de Grupos de las eliminatorias para la Copa Africana de Naciones 2000, que tuvo lugar entre el 2 de octubre de 1998 y el 20 de junio de 1999, Argelia lideró el Grupo 7 con un récord de 5-0-1.",REFUTES,"2000 African Cup of Nations qualification_cell_7_2_2
2000 African Cup of Nations qualification_cell_7_2_3
2000 African Cup of Nations qualification_cell_7_2_4
2000 African Cup of Nations qualification_header_cell_7_0_0|context:2000 African Cup of Nations qualification_cell_7_2_2:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8
2000 African Cup of Nations qualification_header_cell_7_2_0
2000 African Cup of Nations qualification_header_cell_7_0_2|2000 African Cup of Nations qualification_cell_7_2_3:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8
2000 African Cup of Nations qualification_header_cell_7_2_0
2000 African Cup of Nations qualification_header_cell_7_0_3|2000 African Cup of Nations qualification_cell_7_2_4:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8
2000 African Cup of Nations qualification_header_cell_7_2_0
2000 African Cup of Nations qualification_header_cell_7_0_4|2000 African Cup of Nations qualification_header_cell_7_0_0:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8
2000 African Cup of Nations qualification_cell_7_1_2
2000 African Cup of Nations qualification_cell_7_1_3
2000 African Cup of Nations qualification_cell_7_1_4
2000 African Cup of Nations qualification_header_cell_7_0_0|context:2000 African Cup of Nations qualification_cell_7_1_2:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8
2000 African Cup of Nations qualification_header_cell_7_1_0
2000 African Cup of Nations qualification_header_cell_7_0_2|2000 African Cup of Nations qualification_cell_7_1_3:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8
2000 African Cup of Nations qualification_header_cell_7_1_0
2000 African Cup of Nations qualification_header_cell_7_0_3|2000 African Cup of Nations qualification_cell_7_1_4:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8
2000 African Cup of Nations qualification_header_cell_7_1_0
2000 African Cup of Nations qualification_header_cell_7_0_4|2000 African Cup of Nations qualification_header_cell_7_0_0:2000 African Cup of Nations qualification_title
2000 African Cup of Nations qualification_section_1
2000 African Cup of Nations qualification_section_8",Other
7475,"El álbum debut de JD Natasha fue Imperfecta-imperfect, que fue nominado en la sexta edición anual de los Premios Grammy Latinos en la categoría de ""Álbum de Rock Solo Vocal"".",SUPPORTS,"Imperfecta-Imperfect_sentence_0
Imperfecta-Imperfect_sentence_4|context:Imperfecta-Imperfect_sentence_0:Imperfecta-Imperfect_title|Imperfecta-Imperfect_sentence_4:Imperfecta-Imperfect_title",Other
27456,"Tribes Aerial Assault, un videojuego de disparos en primera persona en línea, fue desarrollado por Inevitable Entertainment y publicado por Sierra Entertainment.",SUPPORTS,"Tribes Aerial Assault_sentence_0
Tribes Aerial Assault_cell_0_1_1
Tribes Aerial Assault_cell_0_2_1|context:Tribes Aerial Assault_sentence_0:Tribes Aerial Assault_title|Tribes Aerial Assault_cell_0_1_1:Tribes Aerial Assault_title
Tribes Aerial Assault_header_cell_0_1_0
Tribes Aerial Assault_header_cell_0_0_0|Tribes Aerial Assault_cell_0_2_1:Tribes Aerial Assault_title
Tribes Aerial Assault_header_cell_0_2_0
Tribes Aerial Assault_header_cell_0_0_0",Combining Tables and Text
37590,El equipo de fútbol Clemson Tigers de 1957 representó a Clemson College en la Conferencia de la Costa Atlántica durante la temporada de fútbol americano de la División Universitaria de la NCAA de 1957 y ganó contra Presbyterian el 21 de septiembre con una puntuación de 66-0.,SUPPORTS,"1957 Clemson Tigers football team_sentence_0
1957 Clemson Tigers football team_cell_1_1_0
1957 Clemson Tigers football team_cell_1_1_1
1957 Clemson Tigers football team_cell_1_1_4|context:1957 Clemson Tigers football team_sentence_0:1957 Clemson Tigers football team_title|1957 Clemson Tigers football team_cell_1_1_0:1957 Clemson Tigers football team_title
1957 Clemson Tigers football team_section_0
1957 Clemson Tigers football team_header_cell_1_0_0|1957 Clemson Tigers football team_cell_1_1_1:1957 Clemson Tigers football team_title
1957 Clemson Tigers football team_section_0
1957 Clemson Tigers football team_header_cell_1_0_1|1957 Clemson Tigers football team_cell_1_1_4:1957 Clemson Tigers football team_title
1957 Clemson Tigers football team_section_0
1957 Clemson Tigers football team_header_cell_1_0_4",Combining Tables and Text
76953,El grupo de caracoles marinos conocidos como Pseudorbis pertenece al filo Mollusca y a la clase Gastropoda.,SUPPORTS,"Pseudorbis_sentence_0
Pseudorbis_cell_0_3_1
Pseudorbis_cell_0_4_1|context:Pseudorbis_sentence_0:Pseudorbis_title|Pseudorbis_cell_0_3_1:Pseudorbis_title
Pseudorbis_header_cell_0_1_0
Pseudorbis_header_cell_0_0_0|Pseudorbis_cell_0_4_1:Pseudorbis_title
Pseudorbis_header_cell_0_1_0
Pseudorbis_header_cell_0_0_0",Combining Tables and Text
35109,"El cruce más largo en el país de Lipscomb es desde Higgins hasta la US 60, que tiene 24,5 km, mientras que el cruce con FM 1454 tiene solo 12,9 km.",SUPPORTS,"Texas State Highway 213_cell_0_3_0
Texas State Highway 213_cell_0_3_2
Texas State Highway 213_cell_0_3_3
Texas State Highway 213_cell_0_2_2
Texas State Highway 213_cell_0_2_3|context:Texas State Highway 213_cell_0_3_0:Texas State Highway 213_title
Texas State Highway 213_section_0
Texas State Highway 213_header_cell_0_0_0|Texas State Highway 213_cell_0_3_2:Texas State Highway 213_title
Texas State Highway 213_section_0
Texas State Highway 213_header_cell_0_3_1
Texas State Highway 213_header_cell_0_0_2|Texas State Highway 213_cell_0_3_3:Texas State Highway 213_title
Texas State Highway 213_section_0
Texas State Highway 213_header_cell_0_3_1
Texas State Highway 213_header_cell_0_0_3|Texas State Highway 213_cell_0_2_2:Texas State Highway 213_title
Texas State Highway 213_section_0
Texas State Highway 213_header_cell_0_2_1
Texas State Highway 213_header_cell_0_0_2|Texas State Highway 213_cell_0_2_3:Texas State Highway 213_title
Texas State Highway 213_section_0
Texas State Highway 213_header_cell_0_2_1
Texas State Highway 213_header_cell_0_0_3",Search terms not in claim
95408,"El pentatlón moderno en los Juegos Olímpicos de Verano de 1964 fue dominado por atletas de la Unión Soviética, que se llevó a casa tres medallas y cuyo abanderado era Yury Vlasov, seguido por atletas de Hungría.",SUPPORTS,"Modern pentathlon at the 1964 Summer Olympics_cell_0_1_0
Modern pentathlon at the 1964 Summer Olympics_cell_0_1_5
Modern pentathlon at the 1964 Summer Olympics_cell_0_2_0
Modern pentathlon at the 1964 Summer Olympics_cell_0_2_5
Soviet Union at the 1964 Summer Olympics_cell_0_5_1|context:Modern pentathlon at the 1964 Summer Olympics_cell_0_1_0:Modern pentathlon at the 1964 Summer Olympics_title
Modern pentathlon at the 1964 Summer Olympics_section_0
Modern pentathlon at the 1964 Summer Olympics_header_cell_0_0_0|Modern pentathlon at the 1964 Summer Olympics_cell_0_1_5:Modern pentathlon at the 1964 Summer Olympics_title
Modern pentathlon at the 1964 Summer Olympics_section_0
Modern pentathlon at the 1964 Summer Olympics_header_cell_0_1_1
Modern pentathlon at the 1964 Summer Olympics_header_cell_0_0_5|Modern pentathlon at the 1964 Summer Olympics_cell_0_2_0:Modern pentathlon at the 1964 Summer Olympics_title
Modern pentathlon at the 1964 Summer Olympics_section_0
Modern pentathlon at the 1964 Summer Olympics_header_cell_0_0_0|Modern pentathlon at the 1964 Summer Olympics_cell_0_2_5:Modern pentathlon at the 1964 Summer Olympics_title
Modern pentathlon at the 1964 Summer Olympics_section_0
Modern pentathlon at the 1964 Summer Olympics_header_cell_0_2_1
Modern pentathlon at the 1964 Summer Olympics_header_cell_0_0_5|Soviet Union at the 1964 Summer Olympics_cell_0_5_1:Soviet Union at the 1964 Summer Olympics_title
Soviet Union at the 1964 Summer Olympics_header_cell_0_5_0
Soviet Union at the 1964 Summer Olympics_header_cell_0_3_0",Multi-hop Reasoning
94575,"Las espigas de Melaleuca cajuputi contienen de ocho a 20 grupos de flores, cada grupo con tres flores, mientras que los estambres se agrupan en cinco haces alrededor de la flor.",SUPPORTS,"Melaleuca cajuputi_sentence_7
Melaleuca cajuputi_sentence_8|context:Melaleuca cajuputi_sentence_7:Melaleuca cajuputi_title
Melaleuca cajuputi_section_0|Melaleuca cajuputi_sentence_8:Melaleuca cajuputi_title
Melaleuca cajuputi_section_0",Other
76558,"La Capilla Capernwray, ubicada en Borwick, Over Kellet, Lancashire, fue una capilla evangélica fundada en 1840 por George Marton.",REFUTES,"Capernwray Chapel_cell_0_2_1|context:Capernwray Chapel_cell_0_2_1:Capernwray Chapel_title
Capernwray Chapel_header_cell_0_2_0
Capernwray Chapel_header_cell_0_0_0",Other
39964,David Reitze recibió su B.A. en Física de Harvard y su Doctorado en Física de la Universidad de Texas en Austin; es conocido por sus contribuciones a la terapia génica.,REFUTES,"David Reitze_cell_0_3_1|context:David Reitze_cell_0_3_1:David Reitze_title
David Reitze_header_cell_0_3_0
David Reitze_header_cell_0_0_0",Other
