uid,claim,supporting_facts,label,num_hops,hpqa_id
80ca66bd-2535-4ec3-8421-ad9dcbebf06d,Skagen Painter Peder Severin Krøyer favored naturalism along with Theodor Esbern Philipsen and Kristian Zahrtmann.,Kristian Zahrtmann,SUPPORTED,2,5ab7a86d5542995dae37e986
1632da2c-c6ca-4d12-9545-6469f24ea3a2,"Red, White & Crüe and Mike Tyson both died.","Red, White &amp; Crüe",NOT_SUPPORTED,2,5a7d2ddb554299452d57bb48
e1e9cda2-49a1-4117-a5a7-974563c58676,"Red, White & Crüe and Mike Tyson both fight.","Red, White &amp; Crüe",SUPPORTED,2,5a7d2ddb554299452d57bb48
ef4c721f-0a92-4739-9e74-b5c7dba711a4,WWE Super Tuesday took place at an arena that currently goes by the name TD Garden.,WWE Super Tuesday,SUPPORTED,2,5a7c6fde55429907fabeef87
8a3d7423-9b02-4f94-9d03-733a244c40a3,Kait Parker fills in occasionally for the meteorologist who replaced Ginger Zee.,Kait Parker,SUPPORTED,2,5a774e415542994aec3b7280
7c55bf49-1230-4df0-aa9e-08e23fb4a892,An IndyCar race driver drove a Formula 1 car designed by Peter McCool during the 2007 Formula One season.,Super Aguri SA07,SUPPORTED,2,5abd04bd5542992ac4f381a9
642ef759-aec2-4cec-97cc-7ecdc104dfca,Mark O'Connor is an Amercian bluegrass singer who performed the song Restless with The New Nashville Cats.,Restless (Carl Perkins song),SUPPORTED,2,5a769b115542993569682c51
de03ff7c-eedb-49d0-96d7-ae2622174f08,"The 2011 population of the unitary authority area that includes the village Eastoft was 167,446.",Eastoft,SUPPORTED,2,5a7db8d95542995ed0d16665
25d4468b-735d-4021-9088-321721187dab,"Love Drunk was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift.",Love Drunk,SUPPORTED,2,5a74122f55429929fddd83da
ef1b06ba-30a9-455e-a712-9a4840916e75,"Beatrice Willard served as an economics advisor to President Richard Milhous Nixon, a former Senator from California.",Beatrice Willard,NOT_SUPPORTED,2,5adbe1075542994650320c0b
df25a3b5-7a4e-4194-b2de-06b3cbc5a7d4,"Beatrice Willard served as an advisor to President Richard Milhous Nixon, a former Senator from California.",Beatrice Willard,SUPPORTED,2,5adbe1075542994650320c0b
16048bb3-48b9-4c47-bab7-da5769c8c572,"Beatrice Willard served as an aide to President Richard Milhous Nixon, a former Senator from California.",Beatrice Willard,NOT_SUPPORTED,2,5adbe1075542994650320c0b
82f5d817-104c-4bf6-ad14-a6a1cc3f3ece,The MV Bessel ran aground at the second largest island in the Mediterranean in 1972.,MV Bessel,SUPPORTED,2,5a8cd51a55429941ae14df02
c0f93bd4-5b4d-4a4d-a751-c235e7307e5c,The MV Bessel ran aground at the second largest island in the Mediterranean in summer of 1972.,MV Bessel,NOT_SUPPORTED,2,5a8cd51a55429941ae14df02
0d5f5c7d-88f2-40fe-a62e-cab7b8ca8d0b,"The American film, television and theater actress who was a star in the film the Matchmaker and also received the 40th AFI Life Achievement Award was born April 24, 1934.",The Matchmaker (1958 film),SUPPORTED,2,5abc3f505542993a06baf8b2
b84accac-576f-4b13-ac44-7387c27debeb,JSOC was created on the recommendation of a colonel who served in the Malayan Emergency and Vietnam War.,Joint Special Operations Command,SUPPORTED,2,5abae1e65542996cc5e49ed2
f806d594-ac5c-4e7a-870d-234535f0a928,"The American cable and satellite television channel that April ""Ape"" Margera appears upon is owned by Viacom Media Networks.",April Margera,SUPPORTED,2,5adf34955542993a75d26423
a96a2b44-09d3-4d6e-9f5e-1a2b82aa01bf,Substorm was described in qualitative terms by a scientist nominated for Nobel Prize seven times.,Substorm,SUPPORTED,2,5ab864945542990e739ec8e1
e46bbfa9-987d-4dbb-832a-dec9c9967a49,"""HMS ""Sussex"" was an 80-gun third-rate ship, of the line of the English Royal Navy, for the Kingdom of England on the island of Great Britain from the 10th century—when it emerged from various Anglo-Saxon kingdoms—until 1707, when it united with Scotland to form the Kingdom of Great Britain.",HMS Sussex (1693),SUPPORTED,2,5ab9fe8755429901930fa767
2f7aa88a-0c79-45f4-817d-b4b88261d216,"""HMS ""Sussex"" was an 80-gun third-rate ship, of the line of the English Royal Navy, for the Kingdom of England on the island of Great Britain from the 10th century—when it emerged from 16 Anglo-Saxon kingdoms—until 1707, when it united with Scotland to form the Kingdom of Great Britain.",HMS Sussex (1693),NOT_SUPPORTED,2,5ab9fe8755429901930fa767
ae54a521-f2fc-4745-8633-9b938037fd4b,"The man known as the voice of ""Elgar"" voices the English character in the Manga Love Hina inspired by Keitaro Arima.",Keitarō Urashima,SUPPORTED,2,5ac3dfee554299204fd21eab
562e09bb-1c14-4956-8f9c-6525d7496a9c,"Doggerland, an area that once connected Great Britain to continental Europe, is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf.",Doggerland,SUPPORTED,2,5abe369055429976d4830a8a
66e63594-163a-4dcb-9406-5e4f98ca0eb2,"Doggerland, an area that once connected Jutland to continental Europe, is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf.",Doggerland,NOT_SUPPORTED,2,5abe369055429976d4830a8a
c18fd4fe-4013-4875-998d-5ab41715d3a1,"Hermann Neubacher held a diplomatic post as an Albanian Nazi officer in the Albanian Kingdom, when it was under the control of the Kingdom of Italy.",Hermann Neubacher,NOT_SUPPORTED,2,5a777faf55429949eeb29e90
ddcfb80b-e271-4cd7-9f98-4a5ca5482967,"Hermann Neubacher held a diplomatic passport as an Austrian Nazi politician in the Albanian Kingdom, when it was under the control of the Kingdom of Italy.",Hermann Neubacher,NOT_SUPPORTED,2,5a777faf55429949eeb29e90
0982491f-a8be-4fa2-b45a-dbca2f6ae17b,"Hermann Neubacher held a diplomatic post as an Austrian Nazi politician in the Albanian Kingdom, when it was under the control of the Kingdom of Italy.",Hermann Neubacher,SUPPORTED,2,5a777faf55429949eeb29e90
992e5b4d-3d54-4b8d-87ea-1faf93a8bcb1,"Don Ashley Turlington graduated from Saint Joseph's College, a private Catholic liberal arts college in Standish.",Don Ashley Turlington,SUPPORTED,2,5adf0d2d5542993a75d263e1
e499796b-0fe1-4a8d-bb57-30625db2b992,"The previous Vice President of Production at the animation studio that is owned and operated by Viacom, currently works for Cartoon Network Studios.",Brian A. Miller,SUPPORTED,2,5a8297c055429954d2e2eb71
c3c53768-5750-4b57-95f9-8040a54fc8ea,The British monarch (Elizabeth II) is the head of state of the territory where the Ibrahim-al-Ibrahim Mosque is located.,Ibrahim-al-Ibrahim Mosque,SUPPORTED,2,5a88a35c554299206df2b316
356af093-a986-457b-8f1e-12b3a4e78f86,The name of the Dreyse needle gun's succesor was also called Fusil Mle 1886 M93.,Rotating bolt,SUPPORTED,2,5ae20e365542997283cd238b
84e38ae2-5015-47f2-ab44-59bd595ff8c7,In the 1990's business executive Petrie Dierman Kughn built one of the three mills landmarks in California in 1994.,Ontario Mills,NOT_SUPPORTED,2,5adbf5e255429947ff17386c
43734774-4eea-4974-8760-d6c3aee0773b,In the 1990's Petrie Dierman Kughn built one of the three mills landmarks in California in 1994.,Ontario Mills,SUPPORTED,2,5adbf5e255429947ff17386c
d2ae0dea-8486-415a-a029-9d6e9d64c53d,Jem Finer was a banjo player in the band The Pogues.,"Misty Morning, Albert Bridge",SUPPORTED,2,5abd27ba5542993062266ba7
7b1c5f38-b0c8-4356-bffa-143cc4176bcf,Mashorey is located in Afghanistan.,Mashorey,SUPPORTED,2,5a85bd665542994c784ddb72
e83fe6c2-d14b-4b30-a245-fa66e7c786e5,Mashorey is located in Paktika Province.,Mashorey,SUPPORTED,2,5a85bd665542994c784ddb72
91d7de7e-19c2-4db2-b1d7-dc1a21ee8451,Mashorey is located in southern Afghanistan.,Mashorey,SUPPORTED,2,5a85bd665542994c784ddb72
11b73596-e492-471e-a208-5a4365aa3ab1,"Mario Mazzacurati won the 1936 South African Grand Prix with the Bugatti, a type of two door car that was founded in 1909 in the then German city of Molsheim, Alsace.",Mario Mazzacurati,NOT_SUPPORTED,2,5a8c93a1554299653c1aa0c5
adb8672f-0d2e-45da-8c42-20f7f5c4e7bb,"Mario Mazzacurati won the 1936 South African Grand Prix with the Bugatti, a type of car that was founded in 1909 in the then German city of Molsheim, Alsace.",Mario Mazzacurati,SUPPORTED,2,5a8c93a1554299653c1aa0c5
11670eea-bbc5-412b-8bf6-e1966b743fbe,"Bambi, is based on a book by the Austrian author Felix Salten, The Country Bears is not.",Bambi,SUPPORTED,2,5abfed4c5542994516f4552b
115a1123-db02-4e93-9727-63e6ec22e34d,"Bambi, is based on a book by the American author Felix Salten, The Country Bears is not.",Bambi,NOT_SUPPORTED,2,5abfed4c5542994516f4552b
f68fce7f-80bf-4cdb-8ed8-96cb00e88362,"Bambi, is based on a book by the Austrian photographer Felix Salten, The Country Bears is not.",Bambi,NOT_SUPPORTED,2,5abfed4c5542994516f4552b
afe71f12-340c-4d2e-808c-07d541d8220d,In the 2004 Hockey film produced by a former major league baseball pitcher Kurt Russell played the USA coach.,Mark Ciardi,SUPPORTED,2,5a8347d65542996488c2e3f6
58888919-18ea-481a-ad64-011738579544,Gael and Fitness are not published in the same country.,Gael (magazine),SUPPORTED,2,5ab681ea55429953192ad2e0
b3ab6007-f2e8-4e27-a4ea-73c7b69b2fc5,Blackstar is the name of the album released by David Bowie that was recorded in secret.,Death of David Bowie,SUPPORTED,2,5ac24c475542996366519960
131cacf8-3bf9-440f-98c9-2b75c189d405,"Along with the New York Islanders and the New York Rangers, the New Jersey Devils NHL franchise is popular in the New York metropolitan area.",1974–75 New York Islanders season,SUPPORTED,2,5a820e8855429926c1cdae14
ca4dbf2c-7295-4e39-8085-2d990b270e0e,"Along with the New York Islanders and the New York Rangers, the New Jersey Devils NFL franchise is popular in the New York metropolitan area.",1974–75 New York Islanders season,NOT_SUPPORTED,2,5a820e8855429926c1cdae14
a152b7c4-4c78-4342-bcb8-2220a717ae35,Robert Earl Holding owned an oil company that was originally founded by Harry F. Sinclair.,Robert Holding,SUPPORTED,2,5ac39f7b554299218029dbe7
08e84a3c-b7be-4d3a-8ab8-783bb711c4c5,Philip Cortez and Julian Castro are democratic and not Republican.,Philip Cortez,SUPPORTED,2,5adf4da15542995534e8c780
1ecece55-903e-4870-9f58-c1078ed2d4a6,The nationality of the dancer who partnered Tom Chambers in the sixth season of Strictly Come Dancing is Danish.,Tom Chambers (actor),SUPPORTED,2,5abc9fb055429959677d6ac9
e95b3253-608a-4ac9-ad47-a5bf0dd48d01,The nationality of the dancer who represented Tom Chambers in the fifth season of Strictly Come Dancing is Danish.,Tom Chambers (actor),NOT_SUPPORTED,2,5abc9fb055429959677d6ac9
ad063212-345f-4e9d-970d-9342748b8d62,The nationality of the dancer who represented Tom Chambers in the sixth season of Strictly Come Dancing is Danish.,Tom Chambers (actor),SUPPORTED,2,5abc9fb055429959677d6ac9
51509c76-8486-45b8-9da9-cc40ff7712e8,The film The Book Thief was directed by Brian Percival is based on a book by Markus Zusak.,Brian Percival,SUPPORTED,2,5adddb7e5542997dc790705f
2359b568-c509-4e8e-a159-c9141c0618e9,"The president of South Korea was born 24 January 1953. The Presidential Council on Nation Branding, Korea lies under his direct control.","Presidential Council on Nation Branding, Korea",SUPPORTED,2,5adf07cd5542993a75d263da
6d02062b-947d-41c7-9754-d43ff366a9fa,Calochone and Adlumia are both plants.,Calochone,SUPPORTED,2,5ae060415542993d6555eb19
9de1d0d3-e054-4c03-8d19-7b4884c92c59,"SM Lifestyle Cities development, currently existing in Pasay, is currently being considered for malls such as one in M.A. Roxas Avenue in Clark Freeport, Angeles City in Pampanga Philippines.",SM Lifestyle City,SUPPORTED,2,5a722c2255429971e9dc932c
